epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,2.65,3.2111e+00,2.5752e-02,1.3015e-03,3.1852e+04
100,296.97,1.2511e+00,9.2769e-02,3.8303e-04,1.1583e+04
200,558.51,5.7640e-01,1.6698e-01,2.4616e-03,4.0917e+03
300,831.05,2.9239e-01,8.1506e-02,5.5198e-03,2.1033e+03
400,1094.49,1.6210e-01,3.7180e-02,3.4566e-03,1.2458e+03
500,1362.97,1.2130e-01,2.0855e-02,1.5323e-03,1.0029e+03
600,1634.49,1.0460e-01,1.4464e-02,7.5530e-04,9.0061e+02
700,1896.69,9.5305e-02,1.1314e-02,4.2616e-04,8.3948e+02
800,2162.68,8.8372e-02,9.4725e-03,2.7902e-04,7.8871e+02
900,2424.40,8.2186e-02,8.3628e-03,2.1843e-04,7.3802e+02
1000,2737.57,7.6609e-02,7.8216e-03,1.9862e-04,6.8768e+02
1100,2996.70,7.1952e-02,7.7301e-03,1.9584e-04,6.4202e+02
1200,3412.55,6.8295e-02,7.8223e-03,1.9792e-04,6.0453e+02
1300,3675.52,6.5456e-02,7.8421e-03,2.0019e-04,5.7594e+02
1400,3937.82,6.3205e-02,7.7351e-03,2.0139e-04,5.5450e+02
1500,6049.10,6.1357e-02,7.5723e-03,2.0105e-04,5.3765e+02
1600,6311.47,5.9764e-02,7.4101e-03,1.9933e-04,5.2334e+02
1700,6581.24,5.8312e-02,7.2679e-03,1.9681e-04,5.1024e+02
1800,6849.46,5.6912e-02,7.1482e-03,1.9411e-04,4.9744e+02
