epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.06,5.8448e+00,2.7346e-01,1.7429e-02,5.5696e+04
100,3.36,7.8618e-01,6.3332e-01,1.3672e-01,1.3919e+03
200,6.79,7.2355e-01,5.6900e-01,1.2331e-01,1.4222e+03
300,10.34,6.2186e-01,4.5708e-01,1.4248e-01,1.5053e+03
400,13.91,5.4137e-01,3.6173e-01,1.1629e-01,1.6800e+03
500,17.55,4.8543e-01,3.0196e-01,8.3514e-02,1.7511e+03
600,21.23,4.4706e-01,2.6656e-01,6.4061e-02,1.7410e+03
700,24.92,4.1127e-01,2.3891e-01,5.1258e-02,1.6723e+03
800,28.62,3.7134e-01,2.0953e-01,4.1242e-02,1.5768e+03
900,32.38,3.2468e-01,1.7560e-01,3.0837e-02,1.4599e+03
1000,36.70,2.8437e-01,1.4986e-01,2.4367e-02,1.3207e+03
1100,40.65,2.4972e-01,1.2986e-01,2.0248e-02,1.1784e+03
1200,44.39,2.1472e-01,1.0869e-01,1.4863e-02,1.0454e+03
1300,48.42,1.7929e-01,8.5358e-02,1.0004e-02,9.2932e+02
1400,52.35,1.4337e-01,6.2435e-02,6.5990e-03,8.0274e+02
1500,56.12,1.1415e-01,4.3823e-02,3.9330e-03,6.9937e+02
1600,60.05,9.5258e-02,3.1977e-02,2.4180e-03,6.3040e+02
1700,64.34,8.3589e-02,2.5026e-02,1.6760e-03,5.8395e+02
1800,68.13,7.5666e-02,2.0584e-02,1.2649e-03,5.4955e+02
