epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,6.48,1.1592e+01,9.9792e-01,2.1338e-05,1.0594e+05
100,600.22,5.9900e+00,2.8323e-01,1.8810e-02,5.7049e+04
200,1183.57,2.1811e+00,1.7316e-03,3.8497e-03,2.1790e+04
300,1768.40,7.9112e-01,8.5088e-02,5.1597e-04,7.0598e+03
400,2353.25,3.6517e-01,8.1963e-02,3.0282e-03,2.8291e+03
500,3125.74,1.7594e-01,3.7725e-02,2.5722e-03,1.3795e+03
600,3701.49,9.7599e-02,1.0908e-02,6.5769e-04,8.6625e+02
700,6127.23,6.5177e-02,3.4625e-03,1.2226e-04,6.1703e+02
800,6720.31,4.8635e-02,1.6341e-03,3.1509e-05,4.6997e+02
900,7241.03,3.8201e-02,1.0560e-03,1.4541e-05,3.7144e+02
1000,7759.17,3.0645e-02,8.1657e-04,1.0750e-05,2.9828e+02
1100,8283.08,2.4733e-02,7.0598e-04,1.0310e-05,2.4026e+02
1200,8809.23,1.9955e-02,6.5691e-04,1.1185e-05,1.9296e+02
1300,9405.11,1.6079e-02,6.3220e-04,1.2480e-05,1.5446e+02
1400,9916.18,1.2963e-02,6.0437e-04,1.3344e-05,1.2358e+02
1500,10532.70,1.0485e-02,5.5886e-04,1.3165e-05,9.9250e+01
1600,11062.97,8.5411e-03,4.9582e-04,1.1926e-05,8.0440e+01
1700,11586.04,7.0474e-03,4.2353e-04,1.0083e-05,6.6228e+01
1800,12106.55,5.9312e-03,3.5090e-04,8.1614e-06,5.5795e+01
