run_id,Model,Size,epoch,elapsed time (s),Trainable parameters,Loss,IC_u,IC_du,PDE,Relative L2 error
20260402-161703,cc,16-2,1800,3.59,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-123000,qq-pl,3,1800,16330.90,57,5.6532e-04,2.5641e-06,1.1311e-07,5.6274e+00,4.607443e-03
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-183345,hy-mp,16-2,1800,60.22,360,1.1835e-02,4.4065e-04,7.7872e-06,1.1393e+02,2.215630e-01
20260402-183448,hy-m,16-2-1,1800,80.80,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
20260402-183611,hy-pl,16-2-3,1800,5081.92,353,2.2967e-02,6.4108e-04,6.8938e-02,1.5432e+02,2.482443e-01
20260402-200057,qq-m,1,1800,195.16,197,9.1958e-03,2.9219e-04,2.9334e-06,8.9033e+01,1.393739e-01
20260402-200415,qq-mp,default,1800,109.49,71,5.9419e-04,2.8257e-06,1.5026e-06,5.9121e+00,1.285208e-02
20260402-200608,qq-pl,3,1800,9109.33,57,9.2805e-04,1.3885e-05,7.5998e-07,9.1409e+00,8.878909e-03
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-183345,hy-mp,16-2,1800,60.22,360,1.1835e-02,4.4065e-04,7.7872e-06,1.1393e+02,2.215630e-01
20260402-183448,hy-m,16-2-1,1800,80.80,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
20260402-183611,hy-pl,16-2-3,1800,5081.92,353,2.2967e-02,6.4108e-04,6.8938e-02,1.5432e+02,2.482443e-01
20260402-200057,qq-m,1,1800,195.16,197,9.1958e-03,2.9219e-04,2.9334e-06,8.9033e+01,1.393739e-01
20260402-200415,qq-mp,default,1800,109.49,71,5.9419e-04,2.8257e-06,1.5026e-06,5.9121e+00,1.285208e-02
20260402-200608,qq-pl,3,1800,9109.33,57,9.2805e-04,1.3885e-05,7.5998e-07,9.1409e+00,8.878909e-03
20260402-183448,hy-m,16-2-1,1800,80.80,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
20260402-183448,hy-m,16-2-1,1800,80.80,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-183345,hy-mp,16-2,1800,60.22,360,1.1835e-02,4.4065e-04,7.7872e-06,1.1393e+02,2.215630e-01
20260402-183448,hy-m,16-2-1,1800,80.80,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-163346,cc,16-2,1800,3.33,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260402-183345,hy-mp,16-2,1800,60.22,360,1.1835e-02,4.4065e-04,7.7872e-06,1.1393e+02,2.215630e-01
20260402-183448,hy-m,16-2-1,1800,80.80,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
20260402-183611,hy-pl,16-2-3,1800,5081.92,353,2.2967e-02,6.4108e-04,6.8938e-02,1.5432e+02,2.482443e-01
20260402-200057,qq-m,1,1800,195.16,197,9.1958e-03,2.9219e-04,2.9334e-06,8.9033e+01,1.393739e-01
20260402-200415,qq-mp,default,1800,109.49,71,5.9419e-04,2.8257e-06,1.5026e-06,5.9121e+00,1.285208e-02
20260402-200608,qq-pl,3,1800,9109.33,57,9.2805e-04,1.3885e-05,7.5998e-07,9.1409e+00,8.878909e-03
