epoch,elapsed (s),Loss,IC,BC,F
0,0.01,1.227e+00,5.834e-01,6.178e-01,2.587e-02
1000,5.70,3.849e-02,2.443e-02,8.868e-03,5.191e-03
2000,11.28,7.486e-03,4.939e-03,1.326e-03,1.221e-03
3000,16.81,1.285e-02,1.014e-02,1.634e-03,1.080e-03
4000,22.31,1.038e-02,7.943e-03,1.502e-03,9.321e-04
5000,28.03,5.803e-03,3.890e-03,1.079e-03,8.349e-04
6000,33.56,4.543e-03,2.493e-03,1.305e-03,7.455e-04
7000,39.12,3.727e-03,2.497e-03,5.270e-04,7.030e-04
8000,45.08,2.429e-03,1.070e-03,8.904e-04,4.688e-04
9000,50.82,4.210e-03,2.783e-03,1.094e-03,3.326e-04
10000,56.45,2.331e-03,1.885e-03,2.088e-04,2.364e-04
11000,61.93,2.457e-03,1.977e-03,2.711e-04,2.095e-04
12000,67.67,1.309e-03,1.069e-03,2.403e-05,2.154e-04
13000,73.50,2.190e-03,2.060e-03,4.868e-05,8.098e-05
14000,79.20,8.646e-04,3.509e-04,3.404e-04,1.733e-04
15000,84.63,2.462e-03,2.029e-03,2.919e-04,1.409e-04
16000,90.26,2.445e-03,1.815e-03,4.325e-05,5.870e-04
17000,95.68,2.181e-03,1.928e-03,1.580e-04,9.523e-05
18000,101.06,1.512e-03,1.167e-03,4.023e-05,3.049e-04
19000,106.56,1.154e-03,4.832e-04,4.572e-04,2.132e-04
20000,112.18,3.475e-04,2.514e-04,1.573e-05,8.040e-05
