epoch,elapsed (s),Loss,IC,BC,F
0,0.03,4.950e+00,1.999e+00,2.951e+00,5.412e-04
1000,3.22,4.897e-02,3.305e-02,1.194e-02,3.977e-03
2000,6.41,4.378e-02,2.621e-02,1.145e-02,6.119e-03
3000,9.61,2.105e-02,1.008e-02,3.982e-03,6.987e-03
4000,12.79,1.284e-02,7.164e-03,2.191e-03,3.489e-03
5000,15.87,9.293e-03,6.265e-03,1.379e-03,1.649e-03
6000,18.99,3.245e-03,1.837e-03,5.223e-04,8.853e-04
7000,22.12,7.737e-04,5.402e-04,5.388e-05,1.797e-04
8000,25.26,2.391e-04,1.377e-04,1.135e-05,9.006e-05
9000,28.47,4.339e-04,4.675e-05,8.480e-06,3.786e-04
10000,31.84,4.970e-05,1.514e-05,2.216e-06,3.235e-05
11000,35.37,3.224e-05,9.111e-06,1.710e-06,2.142e-05
12000,38.75,3.882e-05,7.062e-06,1.707e-06,3.005e-05
13000,42.27,1.961e-05,4.580e-06,1.032e-06,1.400e-05
14000,45.98,2.314e-05,3.836e-06,8.557e-07,1.845e-05
15000,49.34,8.200e-06,2.918e-06,5.201e-07,4.762e-06
16000,52.67,6.884e-06,2.971e-06,4.306e-07,3.483e-06
17000,56.07,1.528e-05,2.438e-06,5.656e-07,1.228e-05
18000,59.37,5.707e-05,6.949e-06,7.152e-06,4.297e-05
19000,62.66,5.945e-06,1.744e-06,2.563e-07,3.946e-06
20000,65.95,3.615e-06,1.481e-06,1.576e-07,1.976e-06
