epoch,elapsed (s),Loss,IC,BC,F
0,0.08,6.028e+00,2.033e+00,3.772e+00,2.226e-01
1000,79.31,5.039e-02,3.610e-02,7.431e-03,6.859e-03
2000,157.65,3.986e-02,2.584e-02,7.579e-03,6.438e-03
3000,235.70,3.835e-02,2.457e-02,7.638e-03,6.137e-03
4000,313.93,3.439e-02,2.235e-02,7.451e-03,4.584e-03
5000,392.08,2.962e-02,1.798e-02,6.981e-03,4.662e-03
6000,470.36,5.564e-03,3.400e-03,1.587e-03,5.768e-04
7000,549.05,2.663e-03,1.436e-03,1.005e-03,2.219e-04
8000,628.13,1.272e-03,6.075e-04,4.373e-04,2.268e-04
9000,706.77,5.082e-04,2.308e-04,1.644e-04,1.129e-04
10000,785.89,2.408e-04,1.017e-04,5.348e-05,8.562e-05
11000,866.31,1.146e-04,5.339e-05,2.618e-05,3.501e-05
12000,945.13,8.304e-05,3.222e-05,1.848e-05,3.234e-05
13000,1023.48,5.357e-05,2.336e-05,1.027e-05,1.994e-05
14000,1104.42,5.038e-05,2.174e-05,1.084e-05,1.780e-05
15000,1183.33,4.913e-05,2.023e-05,1.021e-05,1.869e-05
16000,1262.71,4.522e-05,1.294e-05,4.749e-06,2.753e-05
17000,1341.75,1.078e-04,1.289e-05,9.369e-06,8.555e-05
18000,1421.94,4.440e-05,9.261e-06,4.295e-06,3.085e-05
19000,1501.95,1.399e-02,1.260e-03,1.055e-02,2.177e-03
20000,1582.29,2.832e-03,1.084e-03,1.563e-03,1.843e-04
