epoch,elapsed (s),Loss,IC,BC,F
0,0.08,8.959e+00,2.923e+00,5.371e+00,6.646e-01
1000,79.85,4.395e-02,2.572e-02,7.542e-03,1.068e-02
2000,302.06,2.816e-02,1.779e-02,4.959e-03,5.415e-03
3000,381.19,1.797e-02,1.109e-02,3.053e-03,3.826e-03
4000,460.47,1.112e-02,7.028e-03,1.918e-03,2.176e-03
5000,539.73,8.652e-03,6.876e-03,8.439e-04,9.321e-04
6000,617.09,8.012e-03,6.938e-03,5.575e-04,5.164e-04
7000,691.89,7.605e-03,6.778e-03,5.246e-04,3.022e-04
8000,766.19,7.358e-03,6.625e-03,4.844e-04,2.486e-04
9000,841.65,7.208e-03,6.506e-03,4.404e-04,2.610e-04
10000,918.00,7.030e-03,6.378e-03,4.233e-04,2.295e-04
11000,3157.89,6.908e-03,6.236e-03,4.256e-04,2.466e-04
12000,5376.20,6.704e-03,6.121e-03,3.654e-04,2.183e-04
13000,5453.55,6.541e-03,5.913e-03,3.607e-04,2.672e-04
14000,5709.49,6.229e-03,5.682e-03,3.322e-04,2.146e-04
15000,5895.88,5.986e-03,5.371e-03,3.231e-04,2.916e-04
16000,6358.48,5.787e-03,4.993e-03,3.955e-04,3.991e-04
17000,6433.35,5.500e-03,4.723e-03,3.279e-04,4.494e-04
18000,6516.12,5.132e-03,4.317e-03,4.128e-04,4.028e-04
19000,6914.79,4.798e-03,4.065e-03,4.169e-04,3.170e-04
20000,6990.97,4.654e-03,3.896e-03,4.320e-04,3.259e-04
