epoch,elapsed (s),Loss,IC,BC,F
0,3.64,1.157e+01,3.209e+00,3.183e+00,5.174e+00
1000,3586.90,6.457e-02,2.570e-02,2.649e-03,3.622e-02
2000,7081.63,1.685e-02,9.129e-03,7.747e-04,6.946e-03
3000,62096.96,9.239e-03,6.871e-03,1.896e-04,2.179e-03
4000,65790.16,5.995e-03,4.916e-03,5.127e-05,1.027e-03
5000,69668.32,1.801e-03,1.404e-03,1.789e-05,3.790e-04
6000,73541.56,7.305e-04,5.196e-04,7.438e-06,2.035e-04
7000,77339.53,3.808e-04,2.161e-04,2.947e-06,1.617e-04
8000,81154.26,1.780e-04,1.020e-04,4.861e-06,7.112e-05
9000,84884.47,1.057e-04,5.557e-05,1.658e-06,4.850e-05
10000,88283.69,1.051e-04,3.388e-05,1.741e-06,6.945e-05
11000,91716.64,7.203e-05,2.595e-05,1.483e-06,4.460e-05
12000,95179.09,3.494e-05,1.748e-05,4.203e-07,1.704e-05
13000,98581.33,2.538e-05,1.272e-05,5.315e-07,1.213e-05
14000,152388.83,2.951e-05,9.797e-06,2.424e-07,1.947e-05
15000,155816.42,3.500e-05,9.482e-06,1.438e-06,2.408e-05
16000,158999.28,4.030e-05,7.403e-06,1.996e-06,3.090e-05
17000,162214.46,1.347e-05,6.999e-06,3.622e-07,6.106e-06
18000,165467.22,1.510e-05,6.761e-06,8.123e-07,7.528e-06
19000,168750.91,1.544e-05,5.458e-06,1.382e-07,9.843e-06
20000,172127.86,2.109e-05,4.833e-06,2.973e-07,1.596e-05
