epoch,elapsed (s),Loss,IC,BC,F
0,0.25,8.208e+00,3.132e+00,5.034e+00,4.281e-02
1000,181.02,5.437e-02,4.316e-02,6.199e-03,5.004e-03
2000,347.31,4.016e-02,3.036e-02,4.243e-03,5.557e-03
3000,494.74,2.673e-02,1.955e-02,1.875e-03,5.309e-03
4000,641.88,1.933e-02,1.154e-02,1.468e-03,6.328e-03
5000,791.71,1.765e-02,9.891e-03,1.430e-03,6.330e-03
6000,941.62,1.810e-02,9.143e-03,1.595e-03,7.364e-03
7000,1090.41,1.581e-02,8.831e-03,1.775e-03,5.203e-03
8000,3203.52,1.628e-02,8.617e-03,1.854e-03,5.813e-03
9000,3569.71,1.736e-02,8.577e-03,1.717e-03,7.066e-03
10000,3717.23,1.585e-02,8.688e-03,1.929e-03,5.235e-03
11000,3866.58,1.581e-02,8.612e-03,1.803e-03,5.391e-03
12000,4015.84,1.534e-02,8.761e-03,2.104e-03,4.475e-03
13000,4163.61,1.670e-02,8.571e-03,1.748e-03,6.381e-03
14000,4311.40,1.668e-02,8.764e-03,1.906e-03,6.014e-03
15000,4459.25,1.688e-02,8.627e-03,1.764e-03,6.487e-03
16000,4608.37,1.734e-02,8.584e-03,1.676e-03,7.081e-03
17000,4756.83,1.622e-02,8.656e-03,1.827e-03,5.738e-03
18000,4907.38,1.703e-02,8.676e-03,1.736e-03,6.623e-03
19000,5056.87,1.536e-02,8.595e-03,1.788e-03,4.975e-03
20000,5207.88,1.652e-02,8.676e-03,1.930e-03,5.919e-03
