epoch,elapsed (s),Loss,IC,BC,F
0,0.17,5.636e+00,2.798e+00,2.695e+00,1.427e-01
1000,167.60,4.111e-02,2.852e-02,1.882e-03,1.071e-02
2000,338.44,2.488e-02,1.771e-02,6.727e-04,6.498e-03
3000,509.01,1.542e-02,1.020e-02,5.487e-04,4.676e-03
4000,681.41,8.181e-03,5.546e-03,2.696e-04,2.365e-03
5000,853.68,6.297e-03,4.547e-03,1.313e-04,1.618e-03
6000,1027.54,5.126e-03,4.031e-03,5.282e-05,1.042e-03
7000,1200.92,4.156e-03,3.428e-03,1.631e-05,7.117e-04
8000,1371.15,3.472e-03,2.842e-03,1.008e-05,6.191e-04
9000,1547.35,3.099e-03,2.609e-03,5.373e-06,4.844e-04
10000,1717.22,2.915e-03,2.486e-03,3.293e-06,4.251e-04
11000,1886.24,2.752e-03,2.375e-03,2.562e-06,3.740e-04
12000,2060.26,2.611e-03,2.273e-03,2.436e-06,3.359e-04
13000,2234.60,2.473e-03,2.168e-03,1.677e-06,3.033e-04
14000,8054.80,2.296e-03,2.061e-03,1.006e-06,2.344e-04
15000,10657.58,2.201e-03,1.973e-03,2.291e-07,2.284e-04
16000,10832.94,2.116e-03,1.923e-03,3.190e-07,1.918e-04
17000,11008.26,2.075e-03,1.895e-03,8.638e-07,1.796e-04
18000,11214.73,2.053e-03,1.869e-03,2.863e-07,1.840e-04
19000,11401.88,2.016e-03,1.848e-03,1.087e-07,1.681e-04
20000,16577.12,1.980e-03,1.826e-03,1.381e-07,1.539e-04
