epoch,elapsed (s),Loss,IC,BC,F
0,6.89,1.316e+01,3.492e+00,2.011e+00,7.660e+00
1000,7507.83,1.239e+00,5.618e-01,4.418e-01,2.354e-01
2000,21526.86,1.428e-01,2.572e-02,2.438e-02,9.271e-02
3000,33264.00,3.995e-02,8.428e-03,1.280e-03,3.024e-02
4000,41506.83,4.120e-02,1.493e-02,1.030e-03,2.524e-02
5000,49671.28,2.593e-02,1.110e-02,1.609e-03,1.322e-02
6000,57878.92,1.085e-02,6.084e-03,3.272e-04,4.436e-03
7000,66103.07,9.849e-03,5.717e-03,1.530e-04,3.979e-03
8000,74133.21,9.415e-03,6.266e-03,1.076e-04,3.041e-03
9000,82307.43,8.350e-03,6.833e-03,1.022e-05,1.507e-03
10000,90427.06,9.279e-03,7.169e-03,2.211e-05,2.088e-03
11000,98769.83,9.450e-03,7.631e-03,1.531e-05,1.804e-03
12000,107220.10,8.335e-03,6.966e-03,3.449e-06,1.366e-03
13000,115567.77,8.751e-03,7.538e-03,3.437e-06,1.210e-03
14000,123963.42,7.593e-03,7.325e-03,1.096e-06,2.669e-04
15000,132418.38,7.038e-03,6.772e-03,2.059e-07,2.666e-04
16000,140991.66,7.119e-03,6.471e-03,2.412e-06,6.451e-04
17000,149382.22,6.232e-03,5.421e-03,1.098e-05,7.998e-04
18000,157703.09,7.059e-03,5.654e-03,4.520e-05,1.360e-03
19000,166083.65,9.342e-03,6.839e-03,4.836e-05,2.455e-03
20000,174369.41,7.433e-03,7.241e-03,1.782e-06,1.904e-04
