epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.14,1.5664e+00,4.4951e-01,3.2105e-01,1.0848e+04
100,5.00,6.6900e-01,4.7231e-01,2.1608e-01,1.7508e+03
200,9.83,5.3787e-01,3.5592e-01,7.0541e-02,1.7490e+03
300,14.65,3.4324e-01,1.8425e-01,1.7555e-02,1.5723e+03
400,19.69,1.9445e-01,8.7334e-02,4.6681e-03,1.0665e+03
500,24.53,1.0701e-01,3.3250e-02,1.2147e-03,7.3641e+02
600,29.33,8.5850e-02,1.6839e-02,7.8452e-04,6.8933e+02
700,33.88,7.6447e-02,1.2597e-02,4.6894e-04,6.3802e+02
800,38.46,6.9654e-02,1.1121e-02,3.5545e-04,5.8497e+02
900,42.99,6.3492e-02,1.0033e-02,4.4287e-04,5.3415e+02
1000,47.53,5.7383e-02,9.0563e-03,1.9530e-04,4.8307e+02
1100,52.15,5.1446e-02,8.0452e-03,1.4610e-03,4.3254e+02
1200,56.81,4.5601e-02,7.0321e-03,9.3966e-05,3.8560e+02
1300,61.45,4.0024e-02,6.0068e-03,3.2786e-04,3.3984e+02
1400,65.91,3.4630e-02,5.0060e-03,2.9884e-05,2.9621e+02
1500,70.38,2.9355e-02,3.9985e-03,1.3475e-07,2.5356e+02
1600,74.82,2.3664e-02,3.0050e-03,4.9426e-07,2.0659e+02
1700,79.29,1.7591e-02,1.9636e-03,4.2922e-06,1.5627e+02
