epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,2.77,3.2111e+00,2.5752e-02,1.3015e-03,3.1852e+04
100,275.23,1.2511e+00,9.2769e-02,3.8303e-04,1.1583e+04
200,546.72,5.7640e-01,1.6698e-01,2.4616e-03,4.0917e+03
300,819.60,2.9239e-01,8.1506e-02,5.5198e-03,2.1033e+03
400,1096.07,1.6210e-01,3.7180e-02,3.4566e-03,1.2458e+03
500,1362.95,1.2130e-01,2.0855e-02,1.5323e-03,1.0029e+03
600,1631.13,1.0460e-01,1.4464e-02,7.5530e-04,9.0061e+02
700,1895.54,9.5305e-02,1.1314e-02,4.2616e-04,8.3948e+02
800,2160.46,8.8372e-02,9.4725e-03,2.7902e-04,7.8871e+02
900,2438.99,8.2186e-02,8.3628e-03,2.1843e-04,7.3802e+02
1000,2725.95,7.6609e-02,7.8216e-03,1.9862e-04,6.8768e+02
1100,3032.96,7.1952e-02,7.7301e-03,1.9584e-04,6.4202e+02
1200,3376.56,6.8295e-02,7.8223e-03,1.9792e-04,6.0453e+02
1300,3724.98,6.5456e-02,7.8421e-03,2.0019e-04,5.7594e+02
1400,5566.22,6.3205e-02,7.7351e-03,2.0139e-04,5.5450e+02
1500,5900.66,6.1357e-02,7.5723e-03,2.0105e-04,5.3765e+02
1600,6225.07,5.9764e-02,7.4101e-03,1.9933e-04,5.2334e+02
1700,6544.65,5.8312e-02,7.2679e-03,1.9681e-04,5.1024e+02
1800,6882.55,5.6912e-02,7.1482e-03,1.9411e-04,4.9744e+02
