epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.10,1.9779e+00,6.2529e-01,2.2774e-04,1.3526e+04
100,7.44,8.4926e-01,7.9300e-01,4.3662e-03,5.5824e+02
200,15.03,6.1217e-01,5.3577e-01,1.9217e-02,7.4470e+02
300,22.62,4.4826e-01,3.3525e-01,2.7760e-02,1.1024e+03
400,30.25,3.3676e-01,2.2325e-01,2.0352e-02,1.1148e+03
500,37.85,2.3445e-01,1.4286e-01,1.0771e-02,9.0512e+02
600,45.47,1.5163e-01,8.2755e-02,4.4953e-03,6.8430e+02
700,53.10,9.7586e-02,4.5075e-02,2.0666e-03,5.2304e+02
800,60.73,6.7507e-02,2.3969e-02,1.2309e-03,4.3415e+02
900,69.45,5.1072e-02,1.3744e-02,8.7324e-04,3.7241e+02
1000,77.68,4.0816e-02,9.1905e-03,6.8070e-04,3.1558e+02
1100,86.04,3.3181e-02,6.7929e-03,5.4662e-04,2.6334e+02
1200,94.19,2.7028e-02,5.0150e-03,4.2388e-04,2.1971e+02
1300,101.91,2.2279e-02,3.5904e-03,3.1151e-04,1.8657e+02
1400,109.57,1.8765e-02,2.5888e-03,2.2607e-04,1.6154e+02
1500,117.68,1.6073e-02,1.9428e-03,1.6779e-04,1.4114e+02
1600,125.77,1.3886e-02,1.5173e-03,1.2758e-04,1.2356e+02
1700,133.41,1.2027e-02,1.2180e-03,9.8528e-05,1.0799e+02
1800,141.25,1.0403e-02,9.9283e-04,7.6757e-05,9.4028e+01
