epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.04,2.8462e+00,1.8648e+00,4.4691e-02,9.7694e+03
100,0.15,7.7980e-01,6.1869e-01,1.4506e-01,1.4660e+03
200,0.26,7.6029e-01,5.9823e-01,2.3680e-01,1.3838e+03
300,0.36,7.3954e-01,5.6314e-01,4.3325e-01,1.3308e+03
400,0.47,7.2465e-01,5.3259e-01,5.1388e-01,1.4067e+03
500,0.57,7.0729e-01,5.0318e-01,4.3079e-01,1.6102e+03
600,0.68,6.8185e-01,4.6803e-01,3.5812e-01,1.7800e+03
700,0.78,6.0112e-01,3.9567e-01,1.6510e-01,1.8895e+03
800,0.89,3.6548e-01,1.9616e-01,4.3958e-03,1.6888e+03
900,0.99,2.2056e-01,7.0176e-02,3.6818e-04,1.5035e+03
1000,1.10,1.9343e-01,5.0858e-02,1.4234e-05,1.4257e+03
1100,1.20,1.8481e-01,4.4511e-02,9.0706e-06,1.4030e+03
1200,1.33,1.7824e-01,4.0760e-02,4.0432e-06,1.3748e+03
1300,1.43,1.7055e-01,3.7888e-02,2.1783e-06,1.3266e+03
1400,1.55,1.5852e-01,3.5153e-02,2.1065e-06,1.2337e+03
1500,1.79,1.3567e-01,3.0168e-02,2.1850e-06,1.0551e+03
1600,1.91,1.0957e-01,2.2632e-02,4.6370e-05,8.6936e+02
1700,2.03,7.7159e-02,1.5010e-02,2.2113e-06,6.2149e+02
1800,2.14,5.3515e-02,7.8393e-03,1.4639e-06,4.5675e+02
