epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.02,2.5961e+00,1.5597e+00,7.6003e-05,1.0364e+04
100,0.14,8.0587e-01,6.4291e-01,5.9980e-02,1.5696e+03
200,0.27,7.7583e-01,6.0724e-01,1.4741e-01,1.5385e+03
300,0.40,7.4418e-01,5.4915e-01,4.0037e-01,1.5500e+03
400,0.52,5.3625e-01,3.2585e-01,3.0132e-01,1.8027e+03
500,0.65,1.9700e-01,4.8941e-02,8.0167e-04,1.4798e+03
600,0.77,1.4493e-01,2.5658e-02,4.6824e-02,1.1459e+03
700,1.02,1.2437e-01,1.6143e-02,4.0702e-05,1.0822e+03
800,1.14,1.1457e-01,1.3412e-02,3.0495e-05,1.0115e+03
900,1.27,1.0294e-01,1.0681e-02,1.9474e-05,9.2262e+02
1000,1.39,8.8544e-02,8.3618e-03,3.7738e-05,8.0178e+02
1100,1.50,7.2626e-02,6.5183e-03,7.8572e-06,6.6107e+02
1200,1.62,6.1712e-02,4.2651e-03,2.4893e-06,5.7447e+02
1300,1.79,5.5389e-02,3.3652e-03,2.2647e-06,5.2024e+02
1400,1.91,5.0296e-02,2.7063e-03,2.7258e-06,4.7589e+02
1500,2.03,4.7107e-02,2.3147e-03,6.0040e-03,4.4192e+02
1600,2.15,4.3126e-02,1.9353e-03,3.9090e-06,4.1190e+02
1700,2.27,3.9939e-02,1.7213e-03,9.5309e-06,3.8217e+02
1800,2.39,3.6180e-02,1.5095e-03,2.0908e-05,3.4668e+02
