epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.07,1.5631e+00,4.4951e-01,3.2105e-01,1.0815e+04
100,4.46,6.6247e-01,4.6479e-01,2.2465e-01,1.7522e+03
200,8.97,5.2653e-01,3.4501e-01,7.3416e-02,1.7418e+03
300,13.56,3.2991e-01,1.7398e-01,1.8299e-02,1.5409e+03
400,18.07,1.8556e-01,8.0936e-02,4.8899e-03,1.0413e+03
500,22.51,1.0149e-01,3.0640e-02,1.2585e-03,7.0728e+02
600,27.72,8.0996e-02,1.5328e-02,5.4786e-04,6.5613e+02
700,33.42,7.1968e-02,1.1213e-02,4.7209e-04,6.0708e+02
800,38.93,6.5760e-02,9.7759e-03,8.0120e-04,5.5904e+02
900,44.58,6.0397e-02,8.8318e-03,3.1849e-04,5.1534e+02
1000,50.48,5.5095e-02,8.0399e-03,2.1539e-04,4.7034e+02
1100,56.64,4.9950e-02,7.2120e-03,9.1134e-05,4.2729e+02
1200,62.78,4.4956e-02,6.4293e-03,1.1479e-04,3.8516e+02
1300,68.96,4.0225e-02,5.6065e-03,6.5628e-05,3.4612e+02
1400,75.11,3.5636e-02,4.8404e-03,4.8193e-05,3.0791e+02
1500,81.25,3.1310e-02,4.0633e-03,1.5442e-05,2.7246e+02
1600,87.37,2.9104e-02,3.3115e-03,2.0471e-02,2.3745e+02
1700,93.46,2.2546e-02,2.5841e-03,1.6581e-05,1.9960e+02
1800,99.55,1.7665e-02,1.8109e-03,2.9298e-05,1.5852e+02
