epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,2.57,1.5104e+00,2.1992e-01,3.4745e-04,1.2905e+04
100,256.49,6.0923e-01,3.8790e-01,3.5011e-03,2.2098e+03
200,762.84,3.2425e-01,1.5986e-01,4.2437e-03,1.6396e+03
300,1064.52,1.1454e-01,3.2117e-02,9.8012e-04,8.2322e+02
400,1346.86,6.4311e-02,1.0661e-02,1.4956e-04,5.3635e+02
500,1638.74,4.3930e-02,6.0245e-03,2.5451e-05,3.7903e+02
600,1932.56,2.8217e-02,3.5900e-03,9.8570e-06,2.4626e+02
700,2197.47,1.7626e-02,1.8253e-03,5.0016e-06,1.5800e+02
800,2480.35,1.2782e-02,9.5645e-04,1.7166e-06,1.1825e+02
900,2787.91,9.9223e-03,5.8340e-04,6.0878e-07,9.3388e+01
1000,3069.71,7.9105e-03,3.8859e-04,3.5170e-07,7.5219e+01
1100,3451.33,6.4686e-03,2.7421e-04,3.4433e-07,6.1944e+01
1200,5928.57,5.4204e-03,2.0237e-04,4.0915e-07,5.2179e+01
1300,6229.38,4.6425e-03,1.5338e-04,4.8750e-07,4.4890e+01
1400,6537.64,4.0557e-03,1.1801e-04,5.5603e-07,3.9377e+01
1500,6829.32,3.6078e-03,9.1837e-05,6.0349e-07,3.5159e+01
1600,7135.34,3.2610e-03,7.2433e-05,6.2500e-07,3.1886e+01
1700,7432.75,2.9868e-03,5.8163e-05,6.2151e-07,2.9286e+01
1800,7730.93,2.7639e-03,4.7762e-05,5.9820e-07,2.7161e+01
