epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.16,1.4156e+00,8.9273e-01,7.5970e-01,4.4688e+03
100,13.43,5.5713e-01,3.5038e-01,1.1557e-01,1.9519e+03
200,25.87,4.3021e-01,2.3805e-01,4.3569e-02,1.8780e+03
300,38.10,2.5900e-01,1.0818e-01,1.0045e-02,1.4982e+03
400,50.64,1.1637e-01,3.7353e-02,1.8295e-03,7.8830e+02
500,63.30,6.9438e-02,1.2656e-02,2.5684e-03,5.6525e+02
600,76.39,5.9462e-02,8.0320e-03,1.9062e-04,5.1411e+02
700,88.54,5.3154e-02,6.4553e-03,1.2457e-04,4.6687e+02
800,100.99,4.7828e-02,5.5072e-03,9.2031e-04,4.2228e+02
900,113.14,4.2675e-02,4.8713e-03,7.6508e-05,3.7796e+02
1000,125.18,3.7930e-02,4.2585e-03,5.5105e-05,3.3666e+02
1100,137.18,3.3571e-02,3.6628e-03,6.3186e-05,2.9902e+02
1200,148.85,2.9550e-02,3.1272e-03,2.5460e-05,2.6420e+02
1300,160.00,2.5972e-02,2.6278e-03,3.9403e-06,2.3343e+02
1400,1071.92,2.2825e-02,2.1989e-03,9.5020e-06,2.0625e+02
1500,1083.11,2.0145e-02,1.8288e-03,3.4564e-04,1.8282e+02
1600,1094.36,1.7836e-02,1.5009e-03,2.3067e-06,1.6335e+02
1700,1105.70,1.5968e-02,1.2307e-03,4.5704e-04,1.4692e+02
1800,1117.07,1.4366e-02,1.0105e-03,1.0027e-07,1.3355e+02
