epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.12,2.2721e+00,1.3218e+00,7.1339e-02,9.4325e+03
100,10.85,6.6665e-01,5.3965e-01,6.4241e-02,1.2057e+03
200,20.47,5.3489e-01,3.5867e-01,8.8324e-02,1.6739e+03
300,30.21,3.7752e-01,2.1017e-01,3.2651e-02,1.6409e+03
400,39.77,2.3282e-01,9.6142e-02,9.5604e-03,1.3572e+03
500,49.26,1.1406e-01,3.4245e-02,2.0266e-03,7.9609e+02
600,58.90,7.6650e-02,1.3087e-02,4.2199e-03,6.3141e+02
700,69.30,6.5264e-02,8.3133e-03,2.1919e-04,5.6928e+02
800,78.85,5.6665e-02,6.8524e-03,1.4019e-04,4.9798e+02
900,88.39,4.7744e-02,5.7982e-03,2.1191e-04,4.1925e+02
1000,98.18,3.8902e-02,4.6445e-03,3.6922e-04,3.4220e+02
1100,107.75,3.1059e-02,3.5169e-03,1.8858e-05,2.7540e+02
1200,117.23,2.4431e-02,2.5541e-03,9.4087e-05,2.1868e+02
1300,126.71,2.0762e-02,1.9145e-03,1.5039e-02,1.7343e+02
1400,136.37,1.5428e-02,1.2308e-03,3.2131e-06,1.4197e+02
1500,145.92,1.2883e-02,8.5227e-04,7.5809e-04,1.1955e+02
1600,155.90,1.1072e-02,5.7171e-04,2.3676e-07,1.0500e+02
1700,166.09,9.9561e-03,4.0996e-04,1.5277e-04,9.5309e+01
1800,176.08,9.1863e-03,2.9142e-04,1.7713e-06,8.8947e+01
