epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.14,1.6663e+00,1.3811e+00,1.7911e-01,2.6729e+03
100,10.31,5.8820e-01,3.8757e-01,1.1972e-01,1.8866e+03
200,20.84,4.3724e-01,2.6240e-01,4.2931e-02,1.7054e+03
300,31.16,2.9109e-01,1.4489e-01,1.3689e-02,1.4483e+03
400,41.53,1.8263e-01,7.2135e-02,4.0322e-03,1.1009e+03
500,51.78,1.0459e-01,3.3274e-02,9.5048e-04,7.1225e+02
600,62.19,6.5044e-02,1.4568e-02,2.1438e-04,5.0455e+02
700,72.64,5.0910e-02,8.4592e-03,1.4310e-04,4.2437e+02
800,83.04,4.2275e-02,6.2516e-03,3.3722e-05,3.6020e+02
900,93.28,3.5081e-02,4.9430e-03,1.9699e-05,3.0136e+02
1000,103.50,2.9163e-02,3.8813e-03,2.5400e-06,2.5282e+02
1100,113.75,2.4310e-02,3.0397e-03,6.2739e-06,2.1269e+02
1200,123.91,2.0460e-02,2.3660e-03,1.1846e-03,1.7975e+02
1300,134.19,1.7259e-02,1.8367e-03,2.4927e-06,1.5422e+02
1400,144.40,1.4903e-02,1.4222e-03,1.6876e-03,1.3312e+02
1500,154.71,1.2778e-02,1.1175e-03,6.1212e-07,1.1661e+02
1600,165.05,1.1191e-02,8.7584e-04,2.2394e-06,1.0315e+02
1700,175.22,9.9633e-03,6.9006e-04,8.5628e-07,9.2731e+01
1800,185.42,8.9801e-03,5.4563e-04,7.7197e-08,8.4345e+01
