epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,5.47,9.3581e-01,8.8850e-01,2.1573e-09,4.7311e+02
100,804.00,6.1540e-01,4.5899e-01,1.8823e-03,1.5622e+03
200,1441.97,3.6926e-01,2.5334e-01,2.6074e-05,1.1592e+03
300,2074.96,1.4538e-01,7.8116e-02,2.6991e-07,6.7268e+02
400,2699.06,5.0710e-02,1.9642e-02,8.8757e-06,3.1066e+02
500,3330.25,2.0453e-02,4.7543e-03,1.6784e-06,1.5699e+02
600,6242.55,8.8222e-03,1.5223e-03,1.4489e-07,7.2998e+01
700,6889.67,4.0992e-03,5.0089e-04,1.0243e-06,3.5982e+01
800,7544.96,2.3822e-03,1.5663e-04,4.3093e-07,2.2256e+01
900,8162.08,1.7208e-03,5.2051e-05,9.3515e-07,1.6686e+01
1000,8769.07,1.3894e-03,2.2012e-05,8.2045e-07,1.3673e+01
1100,9376.61,1.1691e-03,1.2982e-05,5.8539e-05,1.1502e+01
1200,9899.19,9.9787e-04,9.5805e-06,4.1119e-07,9.8825e+00
1300,10384.30,8.7134e-04,7.5258e-06,2.9518e-06,8.6352e+00
1400,10934.70,7.7550e-04,5.9873e-06,2.1854e-07,7.6949e+00
1500,11456.23,7.0268e-04,4.7389e-06,8.4836e-07,6.9785e+00
1600,11977.71,6.4605e-04,3.7695e-06,2.9640e-06,6.4198e+00
1700,12499.74,6.0128e-04,3.0885e-06,1.7133e-07,5.9818e+00
1800,13021.70,5.7141e-04,2.3396e-06,6.0608e-05,5.6301e+00
