epoch,elapsed (s),Loss,IC,BC,F
0,0.04,1.7253e+00,1.7238e+00,5.0409e-04,1.0036e-03
1000,6.86,1.6719e-02,1.4004e-02,1.9001e-03,8.1400e-04
2000,13.54,1.0654e-02,6.8610e-03,2.1227e-03,1.6701e-03
3000,20.45,5.0232e-03,1.7823e-03,1.7545e-03,1.4865e-03
4000,27.33,3.1725e-03,7.9924e-04,1.3834e-03,9.8988e-04
5000,34.33,2.0355e-03,5.1102e-04,9.2533e-04,5.9918e-04
6000,41.25,1.5341e-03,4.0546e-04,7.1782e-04,4.1080e-04
7000,48.54,1.3275e-03,1.6428e-04,7.8770e-04,3.7557e-04
8000,55.80,5.0306e-04,6.4903e-05,2.7765e-04,1.6050e-04
9000,63.04,1.9559e-04,4.6202e-05,9.0653e-05,5.8736e-05
10000,70.78,1.4707e-04,4.5288e-05,6.8351e-05,3.3429e-05
11000,78.15,7.8124e-05,1.5126e-05,4.2514e-05,2.0484e-05
12000,85.43,5.8122e-05,8.2659e-06,3.3620e-05,1.6236e-05
13000,92.67,4.3997e-05,8.7681e-06,2.3113e-05,1.2116e-05
14000,99.95,4.9621e-05,2.0256e-05,1.8312e-05,1.1054e-05
15000,107.20,2.3615e-05,7.8279e-06,7.2264e-06,8.5605e-06
16000,114.51,1.7544e-05,2.7881e-06,8.6016e-06,6.1547e-06
17000,121.48,1.9204e-05,3.2223e-06,4.8656e-06,1.1116e-05
18000,128.51,1.8342e-05,8.2352e-06,3.4711e-06,6.6355e-06
19000,135.31,1.0066e-05,1.5466e-06,4.3946e-06,4.1245e-06
20000,142.29,1.4660e-05,7.6683e-06,3.5576e-06,3.4346e-06
