epoch,elapsed (s),Loss,IC,BC,F
0,0.00,4.2554e+00,4.2549e+00,1.3753e-04,3.4634e-04
100,0.35,1.0297e+00,1.0287e+00,8.1438e-05,9.4980e-04
200,0.70,1.2034e-01,1.2009e-01,1.0170e-05,2.3714e-04
300,1.04,2.2385e-02,2.2272e-02,4.2260e-06,1.0885e-04
400,1.39,1.9857e-02,1.9763e-02,4.5267e-06,8.8819e-05
500,1.79,2.1581e-02,2.1508e-02,4.4647e-06,6.8872e-05
600,2.16,1.7257e-02,1.7189e-02,5.8470e-06,6.1656e-05
700,2.51,2.1897e-02,2.1823e-02,6.4980e-06,6.6784e-05
800,2.87,1.5173e-02,1.5108e-02,8.6183e-06,5.7242e-05
900,3.23,1.8881e-02,1.8811e-02,1.1763e-05,5.8288e-05
1000,3.58,2.1981e-02,2.1905e-02,1.5292e-05,6.0251e-05
1100,3.94,2.0955e-02,2.0879e-02,2.3530e-05,5.2559e-05
1200,4.29,1.9217e-02,1.9112e-02,3.6935e-05,6.8395e-05
1300,4.67,2.1213e-02,2.1089e-02,6.3765e-05,6.0410e-05
1400,5.02,1.9151e-02,1.8939e-02,1.0525e-04,1.0686e-04
1500,5.38,1.9605e-02,1.9265e-02,2.0150e-04,1.3857e-04
1600,5.73,1.8059e-02,1.7419e-02,3.7704e-04,2.6232e-04
1700,6.09,1.4728e-02,1.3690e-02,5.7421e-04,4.6360e-04
1800,6.44,1.7114e-02,1.5651e-02,8.2528e-04,6.3733e-04
1900,6.79,1.6656e-02,1.4752e-02,1.2556e-03,6.4825e-04
2000,7.12,1.5921e-02,1.3883e-02,1.3546e-03,6.8359e-04
2100,7.47,1.2818e-02,9.9562e-03,2.0158e-03,8.4546e-04
2200,7.81,1.1193e-02,7.3451e-03,3.3104e-03,5.3716e-04
2300,8.15,1.0420e-02,6.5079e-03,3.2724e-03,6.3968e-04
2400,8.49,1.0085e-02,7.2884e-03,2.2312e-03,5.6572e-04
2500,8.83,1.0711e-02,7.3175e-03,2.8667e-03,5.2703e-04
2600,9.18,8.8800e-03,5.8942e-03,2.5192e-03,4.6656e-04
2700,9.53,1.0839e-02,5.6662e-03,4.7226e-03,4.5033e-04
2800,9.88,8.9509e-03,6.0034e-03,2.5193e-03,4.2829e-04
2900,10.23,9.5535e-03,5.4175e-03,3.7743e-03,3.6161e-04
3000,10.58,8.3710e-03,4.7526e-03,3.1646e-03,4.5376e-04
3100,10.92,6.9232e-03,4.1749e-03,2.3236e-03,4.2473e-04
3200,11.28,7.9052e-03,4.5827e-03,2.7912e-03,5.3123e-04
3300,11.62,6.3543e-03,3.3275e-03,1.8824e-03,1.1444e-03
3400,11.98,5.6722e-03,2.8864e-03,1.6349e-03,1.1508e-03
3500,12.33,5.3617e-03,2.4235e-03,1.7919e-03,1.1464e-03
3600,12.68,4.8564e-03,1.8416e-03,1.9172e-03,1.0975e-03
3700,13.03,4.6552e-03,1.8268e-03,1.7779e-03,1.0505e-03
3800,13.38,3.8159e-03,1.2800e-03,1.5340e-03,1.0018e-03
3900,13.74,3.6824e-03,1.2895e-03,1.3946e-03,9.9832e-04
4000,14.13,3.2039e-03,9.6922e-04,1.2642e-03,9.7047e-04
4100,14.48,2.7984e-03,7.2155e-04,1.1709e-03,9.0600e-04
4200,14.82,2.7593e-03,5.2744e-04,1.4192e-03,8.1267e-04
4300,15.16,2.5696e-03,3.9541e-04,1.3246e-03,8.4959e-04
4400,15.51,2.3038e-03,3.3849e-04,1.0629e-03,9.0235e-04
4500,15.85,2.1420e-03,2.2269e-04,1.1251e-03,7.9417e-04
4600,16.20,1.9429e-03,2.1488e-04,1.0916e-03,6.3638e-04
4700,16.55,1.6666e-03,2.0474e-04,7.9702e-04,6.6484e-04
4800,16.91,1.7382e-03,1.9165e-04,9.4935e-04,5.9721e-04
