epoch,elapsed (s),Loss,IC,BC,F
0,0.23,2.869e+00,2.829e+00,4.725e-33,4.012e-02
100,14.61,1.572e+00,1.551e+00,4.643e-33,2.175e-02
200,28.96,5.685e-01,5.402e-01,1.029e-32,2.826e-02
300,43.88,1.312e-01,1.135e-01,2.161e-32,1.768e-02
400,59.08,3.361e-02,2.238e-02,2.112e-32,1.122e-02
500,74.44,2.486e-02,1.890e-02,2.309e-32,5.961e-03
600,89.59,2.084e-02,1.693e-02,3.024e-32,3.913e-03
700,104.56,1.737e-02,1.424e-02,2.810e-32,3.126e-03
800,119.30,1.745e-02,1.446e-02,2.424e-32,2.990e-03
900,134.39,1.604e-02,1.340e-02,2.120e-32,2.647e-03
1000,149.62,1.623e-02,1.378e-02,2.531e-32,2.443e-03
1100,165.36,1.481e-02,1.228e-02,1.487e-32,2.537e-03
1200,180.32,1.412e-02,1.168e-02,1.611e-32,2.442e-03
1300,195.46,1.363e-02,1.120e-02,2.202e-32,2.428e-03
1400,211.04,1.221e-02,1.003e-02,2.892e-32,2.178e-03
1500,226.28,9.328e-03,7.451e-03,2.136e-32,1.877e-03
1600,241.34,7.527e-03,5.768e-03,2.038e-32,1.759e-03
1700,256.33,7.562e-03,6.046e-03,2.038e-32,1.516e-03
1800,271.20,5.580e-03,3.975e-03,1.709e-32,1.605e-03
1900,286.51,4.530e-03,3.396e-03,1.709e-32,1.134e-03
2000,301.37,3.277e-03,2.107e-03,1.454e-32,1.170e-03
2100,316.29,2.746e-03,1.785e-03,2.588e-32,9.607e-04
2200,331.39,2.582e-03,1.869e-03,2.408e-32,7.126e-04
2300,346.33,1.588e-03,1.079e-03,1.865e-32,5.095e-04
2400,361.13,1.228e-03,8.439e-04,1.405e-32,3.843e-04
2500,375.97,8.021e-04,5.190e-04,2.917e-32,2.831e-04
2600,391.12,7.194e-04,4.822e-04,2.827e-32,2.371e-04
2700,406.86,5.744e-04,3.974e-04,3.147e-32,1.770e-04
2800,422.02,4.256e-04,2.914e-04,3.484e-32,1.342e-04
2900,438.41,3.855e-04,2.778e-04,2.465e-32,1.077e-04
3000,453.56,2.328e-04,1.512e-04,3.238e-32,8.161e-05
3100,468.31,2.040e-04,1.266e-04,2.753e-32,7.744e-05
3200,483.26,1.739e-04,1.099e-04,3.977e-32,6.399e-05
3300,498.24,1.453e-04,8.629e-05,2.638e-32,5.902e-05
3400,513.20,1.294e-04,7.706e-05,2.728e-32,5.231e-05
3500,528.08,9.996e-05,5.780e-05,2.038e-32,4.216e-05
3600,542.96,9.821e-05,5.020e-05,2.284e-32,4.801e-05
3700,558.06,6.262e-05,2.843e-05,2.786e-32,3.419e-05
3800,572.77,5.470e-05,2.285e-05,2.843e-32,3.185e-05
3900,587.73,4.619e-05,2.257e-05,2.104e-32,2.362e-05
4000,602.51,4.071e-05,1.191e-05,3.123e-32,2.881e-05
4100,617.42,4.090e-05,1.259e-05,3.755e-32,2.831e-05
4200,632.20,3.485e-05,1.029e-05,2.860e-32,2.456e-05
4300,647.11,3.479e-05,1.114e-05,3.747e-32,2.365e-05
4400,662.02,3.198e-05,9.568e-06,1.808e-32,2.241e-05
4500,677.04,3.480e-05,1.219e-05,1.980e-32,2.262e-05
4600,692.10,2.895e-05,7.854e-06,2.662e-32,2.110e-05
4700,707.10,2.513e-05,7.913e-06,2.556e-32,1.721e-05
4800,722.39,2.815e-05,9.239e-06,2.506e-32,1.891e-05
4900,737.17,2.378e-05,6.670e-06,2.449e-32,1.711e-05
5000,752.36,2.129e-05,7.720e-06,1.389e-32,1.357e-05
5100,768.00,2.422e-05,7.430e-06,2.654e-32,1.679e-05
5200,783.56,2.075e-05,6.384e-06,2.145e-32,1.436e-05
5300,798.76,2.046e-05,6.085e-06,2.375e-32,1.438e-05
5400,813.58,1.680e-05,4.545e-06,2.786e-32,1.226e-05
5500,828.37,1.661e-05,4.670e-06,2.646e-32,1.194e-05
5600,843.21,1.609e-05,5.319e-06,2.679e-32,1.077e-05
5700,857.95,1.585e-05,4.485e-06,1.964e-32,1.136e-05
5800,872.72,1.451e-05,4.677e-06,2.104e-32,9.828e-06
5900,887.53,1.346e-05,4.762e-06,2.252e-32,8.693e-06
6000,902.33,1.225e-05,3.203e-06,2.547e-32,9.047e-06
6100,917.29,1.217e-05,3.834e-06,2.597e-32,8.339e-06
6200,932.88,1.151e-05,3.882e-06,2.112e-32,7.628e-06
6300,949.21,1.170e-05,3.746e-06,3.344e-32,7.955e-06
6400,964.70,9.722e-06,3.089e-06,4.421e-32,6.632e-06
6500,979.56,8.594e-06,2.819e-06,2.424e-32,5.775e-06
6600,994.42,9.766e-06,3.791e-06,2.966e-32,5.975e-06
6700,1009.68,8.875e-06,2.766e-06,2.630e-32,6.110e-06
6800,1024.97,8.819e-06,2.732e-06,1.882e-32,6.087e-06
6900,1040.07,7.475e-06,2.292e-06,1.767e-32,5.183e-06
7000,1054.92,6.920e-06,2.229e-06,1.964e-32,4.691e-06
7100,1069.86,6.913e-06,1.934e-06,3.073e-32,4.978e-06
7200,1084.81,6.221e-06,1.898e-06,2.104e-32,4.323e-06
7300,1100.37,6.421e-06,1.956e-06,1.750e-32,4.464e-06
7400,1116.22,6.222e-06,2.143e-06,2.482e-32,4.079e-06
7500,1131.44,5.296e-06,1.599e-06,2.153e-32,3.697e-06
7600,1146.38,5.211e-06,1.475e-06,2.441e-32,3.736e-06
7700,1161.57,4.611e-06,1.310e-06,3.681e-32,3.301e-06
7800,1176.66,4.511e-06,1.064e-06,2.136e-32,3.447e-06
7900,1191.47,4.880e-06,1.183e-06,2.219e-32,3.697e-06
8000,1206.54,4.185e-06,1.225e-06,2.021e-32,2.960e-06
8100,1221.84,4.202e-06,1.102e-06,2.013e-32,3.100e-06
8200,1236.90,3.988e-06,9.622e-07,2.621e-32,3.025e-06
8300,1251.72,3.632e-06,9.219e-07,2.745e-32,2.710e-06
8400,1266.89,3.390e-06,8.555e-07,2.482e-32,2.535e-06
8500,1281.95,3.148e-06,6.918e-07,2.408e-32,2.456e-06
8600,1297.11,3.066e-06,6.773e-07,2.350e-32,2.389e-06
8700,1312.19,2.959e-06,6.590e-07,2.095e-32,2.300e-06
8800,1327.77,2.640e-06,5.374e-07,3.205e-32,2.102e-06
8900,1342.91,2.604e-06,5.322e-07,2.161e-32,2.072e-06
9000,1358.66,2.399e-06,5.526e-07,2.523e-32,1.847e-06
9100,1374.81,2.590e-06,4.904e-07,2.465e-32,2.100e-06
9200,1391.13,2.242e-06,4.157e-07,2.071e-32,1.826e-06
9300,1406.97,2.110e-06,3.655e-07,2.662e-32,1.745e-06
9400,1421.97,1.936e-06,3.413e-07,2.432e-32,1.595e-06
9500,1436.89,2.103e-06,4.002e-07,2.794e-32,1.703e-06
9600,1451.84,1.769e-06,2.941e-07,2.441e-32,1.475e-06
9700,1466.62,1.820e-06,2.322e-07,1.874e-32,1.588e-06
