epoch,elapsed (s),Loss,IC,BC,F
0,0.09,1.960e+00,1.959e+00,2.461e-05,6.792e-04
1000,7.05,1.725e-02,1.522e-02,1.778e-03,2.511e-04
2000,14.13,6.343e-03,2.417e-03,3.133e-03,7.937e-04
3000,21.35,5.179e-03,1.765e-03,2.618e-03,7.965e-04
4000,28.67,4.783e-03,1.644e-03,2.207e-03,9.314e-04
5000,35.92,3.613e-03,1.341e-03,1.510e-03,7.616e-04
6000,43.25,2.276e-03,7.125e-04,1.093e-03,4.706e-04
7000,50.67,1.886e-03,3.888e-04,1.161e-03,3.358e-04
8000,58.52,7.600e-04,2.102e-04,4.349e-04,1.149e-04
9000,65.93,3.600e-04,7.001e-05,2.413e-04,4.871e-05
10000,73.30,3.498e-04,4.681e-05,2.820e-04,2.103e-05
11000,80.67,2.750e-04,3.135e-05,2.302e-04,1.343e-05
12000,88.03,2.077e-04,4.176e-05,1.524e-04,1.362e-05
13000,95.39,9.045e-05,1.625e-05,6.622e-05,7.972e-06
14000,102.73,4.339e-05,2.028e-05,1.919e-05,3.916e-06
15000,110.13,3.020e-05,1.902e-05,7.754e-06,3.423e-06
16000,117.49,1.911e-05,1.076e-05,6.547e-06,1.799e-06
17000,124.81,2.658e-05,9.921e-06,1.520e-05,1.455e-06
18000,132.12,1.300e-05,7.685e-06,4.045e-06,1.271e-06
19000,139.45,8.528e-06,4.329e-06,2.929e-06,1.270e-06
20000,146.76,1.700e-05,1.417e-05,1.909e-06,9.168e-07
