epoch,elapsed (s),Loss,IC,BC,F
0,0.13,3.648e+00,3.587e+00,9.527e-05,6.120e-02
1000,78.10,1.891e-02,1.856e-02,5.599e-06,3.429e-04
2000,156.05,1.589e-02,1.552e-02,2.278e-05,3.462e-04
3000,234.08,1.543e-02,1.408e-02,5.674e-05,1.297e-03
4000,307.26,6.072e-03,3.434e-03,1.083e-04,2.530e-03
5000,381.06,5.237e-04,1.135e-04,3.727e-06,4.064e-04
6000,454.11,2.013e-04,5.614e-05,8.592e-07,1.443e-04
7000,527.08,1.141e-04,4.324e-05,2.806e-07,7.062e-05
8000,600.45,6.293e-05,2.759e-05,1.024e-07,3.524e-05
9000,673.83,3.662e-05,2.204e-05,2.752e-08,1.455e-05
10000,747.29,2.450e-05,1.691e-05,2.055e-08,7.571e-06
11000,822.01,1.458e-05,1.102e-05,4.056e-08,3.516e-06
12000,898.45,9.157e-06,6.986e-06,5.725e-08,2.113e-06
13000,972.43,5.460e-06,3.910e-06,5.066e-08,1.499e-06
14000,1045.51,3.654e-06,2.580e-06,3.034e-08,1.043e-06
15000,1119.81,2.613e-06,1.809e-06,3.808e-08,7.650e-07
16000,1192.84,1.464e-06,8.832e-07,2.278e-08,5.579e-07
17000,1269.69,9.840e-07,6.150e-07,1.298e-08,3.561e-07
18000,1349.14,8.503e-07,6.007e-07,1.769e-08,2.319e-07
19000,1426.79,5.200e-07,3.706e-07,8.837e-09,1.405e-07
20000,1506.43,2.825e-07,1.823e-07,1.111e-08,8.912e-08
