epoch,elapsed (s),Loss,IC,BC,F
0,0.09,4.586e+00,4.551e+00,5.165e-06,3.461e-02
1000,93.30,2.185e-02,1.964e-02,7.280e-07,2.213e-03
2000,190.82,1.472e-02,1.338e-02,5.076e-07,1.338e-03
3000,359.98,3.696e-03,2.549e-03,2.356e-07,1.147e-03
4000,457.45,2.041e-04,3.772e-05,3.163e-09,1.664e-04
5000,2602.58,6.771e-05,1.705e-05,1.497e-09,5.066e-05
6000,2818.13,3.465e-05,1.084e-05,5.605e-10,2.381e-05
7000,2912.67,1.832e-05,7.151e-06,6.993e-10,1.117e-05
8000,3006.42,9.720e-06,3.703e-06,3.160e-10,6.017e-06
9000,3098.46,3.486e-06,9.976e-07,1.020e-10,2.488e-06
10000,3190.27,1.720e-06,4.541e-07,7.548e-11,1.266e-06
11000,3290.04,6.455e-07,8.047e-08,3.167e-10,5.647e-07
12000,3384.47,3.409e-07,4.186e-08,6.751e-10,2.984e-07
13000,3474.77,2.308e-07,6.289e-08,5.522e-10,1.674e-07
14000,3565.88,1.717e-07,6.889e-08,3.569e-10,1.025e-07
15000,3657.30,1.457e-07,7.168e-08,1.400e-10,7.386e-08
16000,3751.38,1.036e-07,4.054e-08,8.845e-11,6.292e-08
17000,3845.86,1.181e-07,6.434e-08,4.545e-11,5.372e-08
18000,3940.47,3.885e-07,2.800e-07,3.414e-11,1.085e-07
19000,4032.22,1.129e-07,6.360e-08,1.676e-11,4.933e-08
20000,4124.49,5.295e-08,2.947e-08,1.803e-11,2.346e-08
