epoch,elapsed (s),Loss,IC,BC,F
0,3.82,3.769e+00,1.497e+00,4.281e-06,2.272e+00
1000,3731.51,2.275e-02,1.997e-02,6.133e-04,2.161e-03
2000,7408.68,1.177e-02,7.831e-03,1.962e-03,1.978e-03
3000,11017.92,9.140e-03,5.570e-03,2.281e-03,1.289e-03
4000,15087.03,6.219e-03,2.954e-03,2.730e-03,5.351e-04
5000,68651.38,4.691e-03,1.988e-03,2.119e-03,5.837e-04
6000,72173.31,6.975e-04,2.622e-04,2.912e-04,1.442e-04
7000,76843.78,3.765e-04,1.126e-04,2.228e-04,4.114e-05
8000,82597.97,2.716e-04,1.322e-04,1.238e-04,1.568e-05
9000,88331.51,2.193e-04,3.062e-05,1.832e-04,5.489e-06
10000,92644.69,8.024e-05,1.955e-05,5.829e-05,2.408e-06
11000,96220.39,5.025e-05,2.084e-05,2.792e-05,1.492e-06
12000,158051.71,3.172e-05,1.647e-05,1.461e-05,6.393e-07
13000,161608.88,2.213e-05,1.282e-05,8.749e-06,5.556e-07
14000,257895.10,8.273e-06,1.702e-06,5.316e-06,1.255e-06
15000,327409.22,5.841e-06,1.336e-06,3.407e-06,1.097e-06
16000,331519.41,7.244e-06,4.557e-06,2.153e-06,5.347e-07
17000,335322.90,6.123e-06,2.370e-06,1.767e-06,1.986e-06
18000,338928.51,4.989e-06,3.017e-06,1.392e-06,5.797e-07
19000,342594.78,3.752e-06,1.717e-06,9.166e-07,1.118e-06
20000,346223.58,1.041e-05,6.002e-06,4.087e-06,3.258e-07
