epoch,elapsed (s),Loss,IC,BC,F
0,0.29,4.783e+00,4.528e+00,2.215e-32,2.547e-01
1000,268.25,1.339e-01,1.028e-01,8.801e-32,3.118e-02
2000,699.19,2.190e-02,1.410e-02,1.167e-31,7.793e-03
3000,963.89,1.649e-02,1.201e-02,1.316e-31,4.480e-03
4000,1228.27,1.014e-02,6.688e-03,1.109e-31,3.447e-03
5000,1956.51,4.787e-03,2.499e-03,8.530e-32,2.289e-03
6000,2279.96,1.188e-03,2.356e-04,9.220e-32,9.524e-04
7000,2762.94,4.905e-04,5.095e-05,9.335e-32,4.395e-04
8000,3033.74,2.589e-04,1.594e-05,1.610e-31,2.430e-04
9000,3302.98,1.686e-04,7.276e-06,1.430e-31,1.613e-04
10000,3570.29,1.108e-04,5.295e-06,1.599e-31,1.056e-04
11000,3839.09,7.075e-05,3.763e-06,1.130e-31,6.699e-05
12000,4107.61,3.904e-05,2.169e-06,1.035e-31,3.688e-05
13000,4375.44,1.946e-05,1.790e-06,1.462e-31,1.767e-05
14000,4644.43,1.164e-05,8.461e-07,1.513e-31,1.080e-05
15000,4911.24,7.331e-06,9.162e-07,1.369e-31,6.415e-06
16000,5180.50,5.515e-06,5.646e-07,1.183e-31,4.951e-06
17000,5433.38,2.860e-06,3.302e-07,1.415e-31,2.530e-06
18000,5653.23,1.820e-06,2.049e-07,1.158e-31,1.615e-06
19000,5871.26,1.555e-06,2.590e-07,1.188e-31,1.296e-06
20000,6087.51,1.022e-06,1.047e-07,9.261e-32,9.168e-07
