epoch,elapsed (s),Loss,IC,BC,F
0,5.79,2.185e+01,3.846e+00,0.000e+00,1.801e+01
1000,6381.47,1.945e+00,1.735e+00,0.000e+00,2.103e-01
2000,13115.51,8.396e-01,7.310e-01,0.000e+00,1.086e-01
3000,76833.94,3.517e-01,2.985e-01,0.000e+00,5.321e-02
4000,86385.43,1.113e-01,8.378e-02,0.000e+00,2.756e-02
5000,93235.31,2.012e-02,1.641e-02,0.000e+00,3.714e-03
6000,100419.68,1.727e-02,1.423e-02,0.000e+00,3.043e-03
7000,159627.76,1.904e-02,7.982e-03,0.000e+00,1.106e-02
8000,167430.93,7.960e-03,2.244e-03,0.000e+00,5.716e-03
9000,174927.02,9.111e-04,4.604e-05,0.000e+00,8.651e-04
10000,183103.22,3.101e-04,8.511e-06,0.000e+00,3.016e-04
11000,191247.96,1.364e-04,2.499e-06,0.000e+00,1.339e-04
12000,249360.20,6.945e-05,1.122e-06,0.000e+00,6.833e-05
13000,260441.72,3.807e-05,4.742e-07,0.000e+00,3.760e-05
14000,271221.87,2.258e-05,3.061e-07,0.000e+00,2.227e-05
15000,337326.79,1.280e-05,1.696e-07,0.000e+00,1.263e-05
16000,499457.76,7.566e-06,5.603e-08,0.000e+00,7.510e-06
17000,512398.42,5.704e-06,3.458e-08,0.000e+00,5.670e-06
18000,520555.08,4.029e-06,3.028e-08,0.000e+00,3.999e-06
19000,528185.21,2.600e-06,2.507e-08,0.000e+00,2.575e-06
20000,538125.34,3.278e-06,3.313e-08,0.000e+00,3.245e-06
