step,elapsed (s),Loss,BC,Data,F
500,18.70,3.785e+04,3.784e+04,0.000e+00,6.448e+00
1000,37.19,3.739e+04,3.738e+04,0.000e+00,8.387e+00
1500,55.05,3.719e+04,3.718e+04,0.000e+00,7.333e+00
2000,75.07,3.686e+04,3.686e+04,0.000e+00,4.336e+00
2500,94.62,3.651e+04,3.650e+04,0.000e+00,4.327e+00
3000,113.15,3.607e+04,3.607e+04,0.000e+00,4.107e+00
3500,130.98,3.595e+04,3.578e+04,0.000e+00,1.652e+02
4000,149.65,3.514e+04,3.514e+04,0.000e+00,2.790e+00
4500,168.93,3.478e+04,3.478e+04,0.000e+00,3.640e+00
5000,188.13,3.381e+04,3.380e+04,0.000e+00,4.587e+00
5500,206.95,3.273e+04,3.273e+04,0.000e+00,5.420e+00
6000,225.62,3.246e+04,3.245e+04,0.000e+00,5.440e+00
6500,243.63,3.154e+04,3.153e+04,0.000e+00,3.741e+00
7000,261.77,3.042e+04,3.041e+04,0.000e+00,3.368e+00
7500,279.96,2.912e+04,2.911e+04,0.000e+00,3.399e+00
8000,298.04,2.795e+04,2.794e+04,0.000e+00,9.530e+00
8500,315.87,2.649e+04,2.649e+04,0.000e+00,2.837e+00
9000,333.73,2.494e+04,2.494e+04,0.000e+00,1.958e+00
9500,351.58,2.356e+04,2.355e+04,0.000e+00,1.073e+01
10000,369.50,2.203e+04,2.203e+04,0.000e+00,1.326e+00
10500,387.47,3.668e+04,2.061e+04,0.000e+00,1.608e+04
11000,406.15,1.934e+04,1.934e+04,0.000e+00,1.106e+00
11500,424.50,1.821e+04,1.821e+04,0.000e+00,1.202e+00
12000,442.98,1.699e+04,1.699e+04,0.000e+00,1.436e+00
12500,462.13,1.583e+04,1.582e+04,0.000e+00,1.115e+00
13000,479.94,1.458e+04,1.458e+04,0.000e+00,1.126e+00
13500,498.01,1.339e+04,1.339e+04,0.000e+00,7.642e-01
14000,516.31,1.216e+04,1.216e+04,0.000e+00,1.382e+00
