step,elapsed (s),Loss,BC,F
500,21.39,3.378e+03,2.017e+03,1.361e+03
1000,42.90,2.507e+03,2.017e+03,4.898e+02
1500,64.67,2.206e+03,2.017e+03,1.887e+02
2000,86.16,2.101e+03,2.017e+03,8.377e+01
2500,108.06,2.067e+03,2.017e+03,4.993e+01
3000,129.66,2.054e+03,2.017e+03,3.704e+01
3500,150.93,5.043e+04,2.017e+03,4.841e+04
4000,172.22,2.028e+03,2.017e+03,1.110e+01
4500,193.44,2.025e+03,2.017e+03,7.511e+00
5000,214.68,2.023e+03,2.017e+03,6.119e+00
5500,235.98,2.019e+03,2.017e+03,1.542e+00
6000,257.94,2.333e+05,2.015e+03,2.313e+05
6500,279.53,1.652e+04,2.015e+03,1.450e+04
7000,300.83,9.990e+03,2.015e+03,7.974e+03
7500,322.05,7.377e+03,2.015e+03,5.361e+03
8000,343.28,5.844e+03,2.015e+03,3.828e+03
8500,364.44,4.920e+03,2.015e+03,2.905e+03
9000,386.14,4.310e+03,2.015e+03,2.294e+03
9500,407.81,3.867e+03,2.015e+03,1.851e+03
10000,431.12,3.529e+03,2.015e+03,1.514e+03
10500,453.93,3.266e+03,2.015e+03,1.250e+03
11000,477.89,3.255e+03,2.015e+03,1.239e+03
11500,500.17,2.944e+03,2.015e+03,9.289e+02
12000,521.66,2.861e+03,2.015e+03,8.458e+02
12500,543.37,2.798e+03,2.015e+03,7.828e+02
13000,565.55,2.742e+03,2.015e+03,7.267e+02
13500,587.88,2.497e+03,2.015e+03,4.816e+02
14000,611.96,6.459e+04,2.013e+03,6.258e+04
14500,636.09,4.068e+03,2.013e+03,2.055e+03
15000,657.87,3.134e+03,2.013e+03,1.121e+03
15500,846.50,2.787e+03,2.013e+03,7.744e+02
16000,868.03,2.560e+03,2.013e+03,5.477e+02
16500,889.27,2.391e+03,2.013e+03,3.782e+02
17000,910.57,2.266e+03,2.013e+03,2.537e+02
17500,931.85,2.179e+03,2.013e+03,1.662e+02
18000,953.69,2.121e+03,2.013e+03,1.083e+02
18500,975.47,2.085e+03,2.013e+03,7.226e+01
19000,996.79,3.512e+03,2.013e+03,1.499e+03
19500,1018.12,2.045e+03,2.013e+03,3.221e+01
20000,1039.63,3.603e+04,2.013e+03,3.401e+04
20500,1060.92,2.025e+03,2.013e+03,1.198e+01
21000,1082.23,2.024e+03,2.012e+03,1.154e+01
21500,1103.53,2.021e+03,2.012e+03,8.978e+00
22000,1124.87,2.019e+03,2.012e+03,6.472e+00
22500,1146.21,8.195e+03,2.012e+03,6.182e+03
23000,1167.57,2.016e+03,2.012e+03,3.739e+00
23500,1188.88,2.015e+03,2.012e+03,3.006e+00
24000,1210.40,1.657e+05,2.010e+03,1.637e+05
24500,1231.82,1.064e+04,2.010e+03,8.630e+03
25000,1253.19,5.734e+03,2.010e+03,3.724e+03
25500,1274.61,4.063e+03,2.010e+03,2.053e+03
26000,1297.76,3.370e+03,2.010e+03,1.360e+03
26500,1319.89,3.008e+03,2.010e+03,9.981e+02
27000,1341.91,2.773e+03,2.010e+03,7.634e+02
27500,1364.17,2.603e+03,2.010e+03,5.931e+02
28000,1386.20,2.471e+03,2.010e+03,4.607e+02
28500,1408.30,2.364e+03,2.010e+03,3.543e+02
29000,1430.39,2.280e+03,2.010e+03,2.699e+02
29500,1452.45,2.216e+03,2.010e+03,2.058e+02
30000,1474.45,2.170e+03,2.010e+03,1.600e+02
30500,1496.56,2.139e+03,2.010e+03,1.289e+02
31000,1519.21,2.118e+03,2.010e+03,1.078e+02
31500,1542.50,2.201e+03,2.010e+03,1.915e+02
32000,1564.58,2.062e+03,2.010e+03,5.252e+01
32500,1587.03,2.050e+03,2.010e+03,4.052e+01
33000,1609.64,1.382e+04,2.010e+03,1.181e+04
33500,1631.65,2.031e+03,2.010e+03,2.133e+01
34000,1654.34,2.025e+03,2.010e+03,1.545e+01
34500,1859.44,2.022e+03,2.010e+03,1.180e+01
35000,2857.47,2.019e+03,2.010e+03,9.113e+00
35500,3554.84,1.032e+04,2.007e+03,8.311e+03
36000,3595.79,7.098e+03,2.007e+03,5.090e+03
36500,3619.37,5.398e+03,2.007e+03,3.391e+03
37000,3641.62,4.317e+03,2.007e+03,2.310e+03
37500,3663.91,3.596e+03,2.007e+03,1.589e+03
38000,3686.05,3.104e+03,2.007e+03,1.097e+03
38500,3708.28,2.775e+03,2.007e+03,7.681e+02
39000,3730.86,2.564e+03,2.007e+03,5.569e+02
39500,3753.63,2.434e+03,2.007e+03,4.262e+02
40000,3776.30,4.614e+04,2.007e+03,4.413e+04
40000,3872.74,2.008e+03,2.006e+03,1.470e+00
