step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,19.27,1.616e+00,1.614e+00,2.317e-03,6.137e-01,1.000e+00,5.192e-11,1.322e-04
1000,38.03,1.543e+00,1.542e+00,1.074e-03,5.422e-01,1.000e+00,2.966e-10,7.148e-05
1500,55.86,1.506e+00,1.505e+00,7.885e-04,5.049e-01,1.000e+00,2.607e-09,8.318e-05
2000,73.72,1.502e+00,1.502e+00,3.895e-04,5.016e-01,1.000e+00,1.411e-09,6.247e-05
2500,91.89,1.501e+00,1.501e+00,2.022e-04,5.005e-01,1.000e+00,6.734e-10,1.846e-05
3000,110.19,1.500e+00,1.500e+00,1.324e-04,5.002e-01,1.000e+00,3.130e-09,1.644e-05
3500,128.26,1.500e+00,1.500e+00,1.144e-04,5.002e-01,1.000e+00,7.211e-09,8.654e-06
4000,146.30,1.518e+00,1.501e+00,1.673e-02,5.008e-01,1.000e+00,3.865e-09,9.813e-05
4500,164.96,1.507e+00,1.502e+00,4.881e-03,5.024e-01,1.000e+00,2.364e-09,6.548e-06
5000,188.76,1.500e+00,1.500e+00,7.148e-05,5.001e-01,1.000e+00,1.291e-09,8.063e-06
5500,212.72,1.500e+00,1.500e+00,6.543e-05,5.000e-01,1.000e+00,4.377e-09,6.549e-06
6000,236.91,1.500e+00,1.500e+00,5.734e-05,4.999e-01,1.000e+00,3.795e-09,7.671e-06
6500,261.67,1.519e+00,1.500e+00,1.878e-02,5.001e-01,1.000e+00,3.569e-09,9.321e-06
7000,286.34,1.500e+00,1.500e+00,1.529e-04,4.999e-01,1.000e+00,1.642e-08,8.283e-06
7500,309.94,1.502e+00,1.500e+00,2.318e-03,4.999e-01,1.000e+00,4.608e-09,7.593e-06
8000,333.53,1.503e+00,1.500e+00,2.847e-03,5.000e-01,1.000e+00,7.274e-08,8.260e-06
8500,357.17,1.504e+00,1.500e+00,4.497e-03,4.998e-01,1.000e+00,1.881e-08,7.092e-06
9000,380.79,1.500e+00,1.500e+00,3.748e-05,4.998e-01,1.000e+00,5.690e-09,5.754e-06
9500,404.83,1.502e+00,1.500e+00,2.321e-03,5.001e-01,1.000e+00,1.159e-08,4.652e-06
10000,428.50,1.505e+00,1.501e+00,3.913e-03,5.012e-01,1.000e+00,7.654e-09,1.036e-04
10500,452.11,1.502e+00,1.501e+00,8.647e-04,5.009e-01,1.000e+00,2.144e-08,8.012e-06
11000,475.77,1.500e+00,1.500e+00,1.961e-05,4.996e-01,1.000e+00,4.172e-08,2.386e-06
11500,499.43,1.500e+00,1.500e+00,5.168e-05,4.997e-01,1.000e+00,1.515e-07,4.083e-06
12000,523.04,1.500e+00,1.499e+00,1.935e-05,4.995e-01,1.000e+00,3.316e-08,1.614e-06
12500,2040.69,1.499e+00,1.499e+00,2.367e-05,4.994e-01,1.000e+00,8.178e-08,9.628e-07
13000,2065.16,1.499e+00,1.499e+00,1.704e-05,4.994e-01,1.000e+00,7.400e-08,7.259e-07
13500,2088.81,1.500e+00,1.500e+00,2.159e-05,4.997e-01,1.000e+00,1.158e-08,5.221e-06
14000,2112.68,1.500e+00,1.500e+00,1.528e-05,4.997e-01,1.000e+00,1.358e-07,6.069e-07
14500,2137.10,1.499e+00,1.499e+00,1.823e-05,4.992e-01,1.000e+00,1.826e-07,7.614e-07
15000,2161.04,1.500e+00,1.500e+00,3.719e-05,4.998e-01,1.000e+00,4.298e-08,1.076e-06
15500,2185.35,1.499e+00,1.499e+00,4.327e-05,4.994e-01,9.999e-01,4.814e-08,8.735e-07
16000,2209.97,1.500e+00,1.500e+00,2.487e-05,4.996e-01,1.000e+00,1.613e-07,1.633e-06
16500,2234.24,1.499e+00,1.499e+00,1.433e-05,4.994e-01,9.999e-01,4.394e-08,6.452e-07
17000,2258.12,1.499e+00,1.499e+00,2.293e-05,4.992e-01,9.998e-01,7.468e-08,2.345e-07
17500,2281.86,1.499e+00,1.499e+00,1.328e-05,4.995e-01,9.999e-01,5.791e-08,7.157e-07
18000,2305.50,1.500e+00,1.499e+00,2.491e-05,4.996e-01,9.999e-01,4.455e-08,2.587e-07
18500,2329.23,1.504e+00,1.501e+00,3.363e-03,5.009e-01,1.000e+00,8.895e-09,9.032e-06
19000,2352.89,1.499e+00,1.499e+00,2.583e-05,4.993e-01,9.996e-01,1.006e-07,1.845e-07
