step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,17.72,1.592e+00,1.535e+00,5.781e-02,5.345e-01,9.999e-01,7.646e-09,2.035e-04
1000,36.47,1.500e+00,1.500e+00,1.591e-04,4.999e-01,1.000e+00,1.710e-09,8.936e-06
1500,55.57,1.500e+00,1.500e+00,8.895e-05,4.998e-01,1.000e+00,4.275e-09,4.067e-06
2000,74.67,1.500e+00,1.500e+00,8.728e-05,4.998e-01,9.999e-01,3.644e-09,2.674e-06
2500,94.77,1.500e+00,1.500e+00,5.996e-05,4.998e-01,9.998e-01,2.914e-08,2.482e-06
3000,112.98,1.500e+00,1.499e+00,2.569e-04,4.998e-01,9.997e-01,7.270e-09,1.429e-06
3500,131.11,1.500e+00,1.499e+00,2.986e-04,4.997e-01,9.996e-01,1.323e-08,3.313e-06
4000,149.00,1.499e+00,1.499e+00,3.296e-05,4.995e-01,9.994e-01,2.041e-08,1.014e-06
4500,166.31,1.499e+00,1.499e+00,2.877e-05,4.994e-01,9.993e-01,1.066e-07,9.503e-07
5000,184.01,1.498e+00,1.498e+00,3.414e-05,4.991e-01,9.990e-01,1.608e-07,5.226e-07
5500,201.62,1.498e+00,1.498e+00,2.485e-05,4.989e-01,9.988e-01,3.214e-07,1.259e-06
6000,218.89,1.497e+00,1.497e+00,4.100e-05,4.984e-01,9.983e-01,7.514e-07,2.816e-06
6500,236.21,1.502e+00,1.502e+00,6.128e-04,5.009e-01,1.001e+00,1.389e-06,7.382e-06
7000,254.01,1.501e+00,1.501e+00,8.108e-05,5.006e-01,1.000e+00,1.265e-06,6.324e-06
7500,271.17,1.500e+00,1.500e+00,1.983e-05,5.004e-01,1.000e+00,1.103e-06,4.555e-06
8000,288.48,1.500e+00,1.500e+00,6.153e-05,5.002e-01,9.997e-01,9.169e-07,2.850e-06
8500,308.92,1.499e+00,1.499e+00,6.588e-05,5.000e-01,9.993e-01,7.230e-07,1.421e-06
