step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,76.13,1.948e+00,1.752e+00,1.958e-01,7.517e-01,1.000e+00,2.192e-08,9.220e-05
1000,153.14,1.847e+00,1.750e+00,9.711e-02,7.501e-01,1.000e+00,5.506e-09,6.065e-05
1500,230.36,1.807e+00,1.748e+00,5.871e-02,7.484e-01,1.000e+00,5.863e-09,4.126e-05
2000,308.38,1.782e+00,1.747e+00,3.494e-02,7.472e-01,1.000e+00,3.832e-09,2.970e-05
2500,384.17,1.771e+00,1.747e+00,2.402e-02,7.466e-01,1.000e+00,3.797e-09,2.177e-05
3000,461.56,1.763e+00,1.746e+00,1.666e-02,7.460e-01,1.000e+00,4.110e-09,1.660e-05
3500,539.38,1.758e+00,1.746e+00,1.280e-02,7.455e-01,1.000e+00,2.547e-09,1.339e-05
4000,617.49,1.757e+00,1.745e+00,1.243e-02,7.449e-01,1.000e+00,2.193e-09,1.154e-05
4500,695.35,1.752e+00,1.744e+00,8.439e-03,7.438e-01,1.000e+00,1.716e-09,1.072e-05
5000,772.56,1.751e+00,1.743e+00,7.925e-03,7.428e-01,1.000e+00,1.340e-09,1.136e-05
5500,848.11,1.749e+00,1.741e+00,8.273e-03,7.407e-01,1.000e+00,1.446e-09,1.368e-05
6000,925.41,1.744e+00,1.737e+00,6.665e-03,7.370e-01,1.000e+00,1.692e-09,2.149e-05
6500,1002.75,1.731e+00,1.718e+00,1.235e-02,7.182e-01,1.000e+00,1.707e-09,6.114e-05
7000,1076.34,1.716e+00,1.714e+00,1.970e-03,7.134e-01,1.000e+00,1.553e-08,1.648e-04
7500,1150.52,1.517e+00,1.513e+00,3.788e-03,5.128e-01,1.000e+00,1.257e-07,7.147e-05
8000,1224.83,1.504e+00,1.501e+00,3.121e-03,5.006e-01,1.000e+00,1.060e-07,5.911e-05
8500,1299.34,1.502e+00,1.500e+00,2.302e-03,5.001e-01,1.000e+00,7.010e-08,1.980e-05
9000,1372.36,1.502e+00,1.500e+00,1.631e-03,5.001e-01,1.000e+00,5.614e-08,1.619e-05
9500,1445.13,1.501e+00,1.500e+00,1.216e-03,5.000e-01,1.000e+00,4.366e-08,9.357e-06
10000,1518.26,1.501e+00,1.500e+00,8.618e-04,5.000e-01,1.000e+00,3.575e-08,7.721e-06
10500,1592.03,1.501e+00,1.500e+00,1.011e-03,4.999e-01,1.000e+00,2.107e-08,7.340e-06
11000,1665.95,1.502e+00,1.500e+00,1.699e-03,4.999e-01,1.000e+00,8.341e-09,7.607e-06
11500,1738.67,1.500e+00,1.500e+00,3.743e-04,4.999e-01,1.000e+00,7.123e-09,3.034e-05
12000,1811.69,1.500e+00,1.500e+00,1.840e-04,4.997e-01,1.000e+00,4.259e-08,6.974e-06
12500,1887.98,1.500e+00,1.500e+00,1.372e-04,4.995e-01,1.000e+00,1.663e-07,6.147e-06
13000,1961.62,1.499e+00,1.499e+00,1.297e-04,4.993e-01,1.000e+00,4.212e-07,5.121e-06
13500,2038.17,1.499e+00,1.499e+00,6.916e-05,4.992e-01,1.000e+00,1.070e-06,3.665e-06
14000,2113.00,1.499e+00,1.499e+00,1.324e-04,4.987e-01,1.000e+00,2.488e-06,2.592e-06
14500,2190.06,1.500e+00,1.500e+00,1.810e-04,4.995e-01,1.000e+00,7.105e-07,1.477e-04
15000,2268.28,1.500e+00,1.499e+00,9.727e-05,4.994e-01,1.000e+00,9.013e-07,6.980e-05
15500,2350.20,1.499e+00,1.499e+00,9.314e-05,4.993e-01,1.000e+00,1.201e-06,3.084e-05
16000,2434.80,1.499e+00,1.499e+00,8.041e-05,4.992e-01,1.000e+00,1.688e-06,1.267e-05
16500,2507.56,1.499e+00,1.499e+00,8.103e-05,4.990e-01,1.000e+00,2.579e-06,5.399e-06
17000,2583.03,1.499e+00,1.499e+00,8.074e-05,4.988e-01,1.000e+00,3.788e-06,2.979e-06
17500,2660.56,1.499e+00,1.499e+00,4.120e-05,4.986e-01,1.000e+00,5.641e-06,2.083e-06
18000,2737.02,1.498e+00,1.498e+00,7.603e-05,4.983e-01,1.000e+00,8.640e-06,1.891e-06
18500,2809.64,1.499e+00,1.498e+00,1.164e-03,4.980e-01,1.000e+00,1.137e-05,1.939e-06
19000,2886.21,1.498e+00,1.497e+00,3.248e-04,4.975e-01,1.000e+00,1.477e-05,1.638e-06
19500,2963.36,1.497e+00,1.497e+00,2.819e-04,4.968e-01,1.000e+00,1.929e-05,1.210e-06
20000,3046.15,1.496e+00,1.496e+00,1.572e-04,4.958e-01,9.999e-01,2.709e-05,8.068e-07
20500,3121.17,1.494e+00,1.494e+00,3.299e-04,4.942e-01,9.997e-01,4.943e-05,2.560e-07
21000,3197.12,1.489e+00,1.489e+00,1.585e-04,4.909e-01,9.981e-01,7.869e-05,1.378e-08
21500,3278.15,1.479e+00,1.479e+00,5.299e-04,4.844e-01,9.940e-01,1.958e-04,7.007e-10
22000,3357.80,1.486e+00,1.484e+00,1.908e-03,4.877e-01,9.965e-01,3.834e-04,1.499e-08
22500,3434.28,1.473e+00,1.473e+00,2.016e-04,4.795e-01,9.929e-01,4.410e-04,9.930e-09
23000,3510.28,1.468e+00,1.468e+00,4.490e-04,4.771e-01,9.899e-01,4.918e-04,5.410e-09
23500,3585.11,1.463e+00,1.461e+00,1.819e-03,4.741e-01,9.862e-01,4.755e-04,1.906e-09
24000,3660.25,1.461e+00,1.453e+00,8.815e-03,4.706e-01,9.814e-01,6.300e-04,9.099e-10
