step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,463.00,1.842e+01,1.673e+00,1.675e+01,6.723e-01,1.000e+00,9.889e-08,2.181e-05
1000,925.77,5.232e+00,1.695e+00,3.538e+00,6.944e-01,1.000e+00,7.176e-08,1.811e-05
1500,1392.64,2.897e+00,1.709e+00,1.189e+00,7.086e-01,1.000e+00,5.363e-08,1.850e-05
2000,1863.33,2.261e+00,1.719e+00,5.428e-01,7.186e-01,1.000e+00,4.351e-08,1.948e-05
2500,2339.28,2.002e+00,1.726e+00,2.759e-01,7.262e-01,1.000e+00,3.432e-08,2.042e-05
3000,2802.26,1.880e+00,1.732e+00,1.479e-01,7.319e-01,1.000e+00,2.928e-08,2.122e-05
3500,3269.74,1.833e+00,1.736e+00,9.646e-02,7.364e-01,1.000e+00,2.464e-08,2.187e-05
4000,3740.57,1.805e+00,1.740e+00,6.535e-02,7.398e-01,1.000e+00,2.153e-08,2.228e-05
4500,4215.68,1.785e+00,1.742e+00,4.322e-02,7.421e-01,1.000e+00,1.954e-08,2.241e-05
5000,4690.34,1.774e+00,1.744e+00,3.041e-02,7.438e-01,1.000e+00,1.707e-08,2.226e-05
5500,5157.79,1.768e+00,1.745e+00,2.347e-02,7.448e-01,1.000e+00,1.599e-08,2.180e-05
6000,5627.09,1.763e+00,1.745e+00,1.726e-02,7.454e-01,1.000e+00,1.501e-08,2.109e-05
6500,6100.46,1.759e+00,1.746e+00,1.349e-02,7.457e-01,1.000e+00,1.458e-08,2.021e-05
7000,6572.73,1.756e+00,1.746e+00,1.044e-02,7.458e-01,1.000e+00,1.428e-08,1.924e-05
7500,7047.53,1.754e+00,1.746e+00,8.478e-03,7.457e-01,1.000e+00,1.325e-08,1.828e-05
8000,7520.41,1.752e+00,1.745e+00,6.675e-03,7.453e-01,1.000e+00,1.296e-08,1.745e-05
8500,8008.75,1.750e+00,1.744e+00,5.596e-03,7.445e-01,1.000e+00,1.358e-08,1.687e-05
9000,8493.94,1.748e+00,1.743e+00,5.164e-03,7.427e-01,1.000e+00,1.500e-08,1.679e-05
9500,8971.41,1.744e+00,1.739e+00,5.438e-03,7.389e-01,1.000e+00,1.544e-08,1.761e-05
10000,9455.06,1.734e+00,1.727e+00,7.321e-03,7.270e-01,1.000e+00,2.229e-08,1.929e-05
10500,9937.32,1.687e+00,1.686e+00,1.456e-03,6.856e-01,1.000e+00,5.372e-08,1.623e-05
11000,10412.37,1.631e+00,1.631e+00,1.730e-04,6.308e-01,1.000e+00,1.304e-07,1.104e-05
11500,10915.64,1.586e+00,1.586e+00,3.406e-04,5.860e-01,1.000e+00,2.202e-07,9.235e-06
12000,11390.23,1.550e+00,1.550e+00,6.400e-04,5.495e-01,1.000e+00,2.948e-07,1.061e-05
12500,11866.12,1.524e+00,1.523e+00,1.041e-03,5.225e-01,1.000e+00,3.383e-07,1.512e-05
13000,12344.96,1.509e+00,1.507e+00,1.343e-03,5.072e-01,1.000e+00,3.498e-07,2.160e-05
13500,12812.74,1.503e+00,1.502e+00,1.374e-03,5.016e-01,1.000e+00,3.369e-07,2.672e-05
14000,13278.22,1.502e+00,1.500e+00,1.271e-03,5.002e-01,1.000e+00,3.101e-07,2.856e-05
14500,13750.98,1.501e+00,1.500e+00,9.788e-04,5.000e-01,1.000e+00,2.863e-07,2.778e-05
15000,14222.64,1.501e+00,1.500e+00,7.782e-04,5.000e-01,1.000e+00,2.629e-07,2.579e-05
15500,14708.81,1.501e+00,1.500e+00,6.925e-04,5.000e-01,1.000e+00,2.440e-07,2.334e-05
16000,15199.90,1.500e+00,1.500e+00,4.962e-04,5.000e-01,1.000e+00,2.254e-07,2.082e-05
16500,15688.77,1.500e+00,1.500e+00,4.612e-04,4.999e-01,1.000e+00,2.069e-07,1.838e-05
17000,16174.67,1.500e+00,1.500e+00,3.803e-04,4.999e-01,1.000e+00,1.804e-07,1.601e-05
17500,16636.68,1.500e+00,1.500e+00,4.461e-04,4.999e-01,1.000e+00,1.555e-07,1.393e-05
18000,17094.13,1.500e+00,1.500e+00,2.651e-04,4.998e-01,1.000e+00,1.177e-07,1.210e-05
18500,17554.36,1.500e+00,1.500e+00,2.258e-04,4.998e-01,1.000e+00,7.788e-08,1.060e-05
19000,18018.81,1.500e+00,1.500e+00,2.624e-04,4.997e-01,1.000e+00,4.705e-08,9.428e-06
19500,18489.94,1.500e+00,1.500e+00,5.887e-04,4.996e-01,1.000e+00,2.332e-08,8.629e-06
20000,18960.75,1.500e+00,1.500e+00,1.854e-04,4.995e-01,1.000e+00,2.383e-08,8.388e-06
20500,19520.84,1.500e+00,1.499e+00,3.051e-04,4.994e-01,1.000e+00,4.513e-08,8.340e-06
21000,20043.95,1.499e+00,1.499e+00,1.825e-04,4.993e-01,1.000e+00,1.193e-07,7.943e-06
21500,20530.88,1.500e+00,1.499e+00,8.077e-04,4.991e-01,1.000e+00,2.417e-07,8.260e-06
22000,21020.24,1.499e+00,1.499e+00,5.340e-04,4.989e-01,1.000e+00,4.561e-07,8.237e-06
22500,21542.18,1.500e+00,1.499e+00,1.153e-03,4.986e-01,1.000e+00,6.351e-07,9.705e-06
23000,22026.76,1.499e+00,1.498e+00,3.217e-04,4.982e-01,1.000e+00,1.003e-06,1.356e-05
23500,22513.38,1.498e+00,1.498e+00,3.117e-04,4.977e-01,1.000e+00,1.439e-06,1.345e-05
24000,23001.92,1.498e+00,1.497e+00,7.333e-04,4.970e-01,1.000e+00,2.343e-06,8.712e-06
24500,23487.32,1.496e+00,1.496e+00,2.207e-04,4.962e-01,1.000e+00,4.332e-06,6.172e-06
25000,23973.03,1.495e+00,1.495e+00,1.275e-04,4.953e-01,1.000e+00,5.518e-06,4.437e-06
25500,24461.91,1.495e+00,1.494e+00,3.394e-04,4.944e-01,1.000e+00,6.558e-06,2.953e-06
26000,24953.17,1.494e+00,1.493e+00,2.632e-04,4.935e-01,1.000e+00,9.546e-06,2.053e-06
26500,25434.60,1.493e+00,1.492e+00,1.636e-04,4.926e-01,9.999e-01,8.065e-06,1.392e-06
27000,25919.48,1.492e+00,1.491e+00,2.385e-04,4.917e-01,9.998e-01,1.134e-05,1.040e-06
27500,26405.28,1.491e+00,1.490e+00,1.746e-04,4.907e-01,9.996e-01,1.374e-05,9.318e-07
28000,26888.92,1.490e+00,1.489e+00,5.630e-04,4.897e-01,9.995e-01,1.511e-05,6.880e-07
28500,27358.63,1.488e+00,1.488e+00,3.136e-04,4.886e-01,9.992e-01,1.888e-05,4.967e-07
29000,27843.91,1.489e+00,1.486e+00,2.428e-03,4.875e-01,9.989e-01,1.945e-05,3.663e-07
29500,28323.08,1.485e+00,1.485e+00,2.561e-04,4.864e-01,9.986e-01,1.879e-05,2.737e-07
30000,28804.62,1.484e+00,1.483e+00,3.067e-04,4.853e-01,9.982e-01,2.710e-05,1.928e-07
30500,29288.58,1.483e+00,1.482e+00,2.644e-04,4.845e-01,9.978e-01,2.834e-05,2.025e-07
31000,29776.33,1.481e+00,1.481e+00,3.719e-04,4.835e-01,9.974e-01,3.225e-05,1.631e-07
31500,30268.60,1.480e+00,1.479e+00,3.315e-04,4.824e-01,9.969e-01,2.761e-05,1.350e-07
32000,30763.85,1.479e+00,1.478e+00,1.761e-03,4.811e-01,9.963e-01,4.383e-05,1.176e-07
32500,31252.44,1.478e+00,1.475e+00,2.281e-03,4.797e-01,9.955e-01,4.160e-05,1.136e-07
33000,31735.27,1.473e+00,1.473e+00,2.117e-04,4.784e-01,9.947e-01,4.354e-05,1.115e-07
33500,32216.92,1.471e+00,1.471e+00,4.303e-04,4.768e-01,9.937e-01,6.265e-05,1.041e-07
34000,32699.79,1.471e+00,1.468e+00,2.715e-03,4.753e-01,9.926e-01,5.819e-05,9.772e-08
34500,33186.54,1.465e+00,1.465e+00,2.753e-04,4.735e-01,9.914e-01,6.503e-05,7.214e-08
35000,33671.95,1.462e+00,1.462e+00,2.499e-04,4.719e-01,9.900e-01,6.343e-05,6.192e-08
35500,34157.23,1.459e+00,1.459e+00,7.096e-04,4.700e-01,9.885e-01,9.613e-05,5.024e-08
36000,34642.73,1.456e+00,1.455e+00,9.422e-04,4.681e-01,9.868e-01,8.705e-05,4.367e-08
36500,35120.27,1.452e+00,1.452e+00,2.335e-04,4.667e-01,9.854e-01,1.119e-04,4.199e-08
37000,35592.05,1.449e+00,1.449e+00,2.978e-04,4.650e-01,9.837e-01,1.281e-04,3.608e-08
37500,36084.72,1.447e+00,1.445e+00,1.301e-03,4.632e-01,9.820e-01,1.172e-04,3.182e-08
38000,36571.16,1.445e+00,1.445e+00,3.298e-04,4.626e-01,9.822e-01,1.510e-04,2.942e-08
38500,37057.02,1.444e+00,1.444e+00,2.345e-04,4.622e-01,9.812e-01,1.625e-04,3.419e-08
39000,37539.27,1.442e+00,1.442e+00,5.952e-04,4.615e-01,9.801e-01,1.565e-04,3.570e-08
39500,38041.94,1.440e+00,1.440e+00,3.844e-04,4.607e-01,9.790e-01,1.241e-04,3.708e-08
40000,38530.53,1.442e+00,1.438e+00,4.508e-03,4.597e-01,9.777e-01,1.568e-04,3.741e-08
40000,44896.50,1.012e+00,9.514e-01,6.071e-02,4.580e-01,4.931e-01,3.724e-04,3.799e-08
