run_id,Model,Size,epoch,elapsed time (s),Trainable parameters,Loss,IC_u,IC_du,PDE,Relative L2 error
20260403-171109,cc,16-2,1800,4.48,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260403-171109,cc,16-2,1800,4.48,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260403-171453,qq-m,1,1800,197.13,197,9.1958e-03,2.9219e-04,2.9334e-06,8.9033e+01,1.393739e-01
20260403-171811,hy-m,16-2-1,1800,98.07,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
20260403-171109,cc,16-2,1800,4.48,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260403-171453,qq-m,1,1800,197.13,197,9.1958e-03,2.9219e-04,2.9334e-06,8.9033e+01,1.393739e-01
20260403-171811,hy-m,16-2-1,1800,98.07,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
20260403-171109,cc,16-2,1800,4.48,721,3.6180e-02,1.5095e-03,2.1008e-05,3.4668e+02,4.159862e-01
20260403-171453,qq-m,1,1800,197.13,197,9.1958e-03,2.9219e-04,2.9334e-06,8.9033e+01,1.393739e-01
20260403-171811,hy-m,16-2-1,1800,98.07,423,4.7615e-02,4.8284e-03,7.1074e-05,4.2780e+02,3.937845e-01
