run_id,Model,Size,epoch,elapsed (s),Trainable parameters,Loss,IC,BC,F,Density error,Pressure error
20260403-055759,cc,10-4,20000,58.92,845,1.933e-06,3.489e-07,6.781e-08,1.516e-06,3.934973e-02,5.138812e-05
20260403-055902,cc,10-7,20000,85.21,1505,6.137e-05,2.948e-05,1.023e-06,3.087e-05,2.342503e-02,1.007594e-04
20260403-060029,cc,20-4,20000,67.49,2845,4.176e-03,1.053e-04,5.142e-05,4.019e-03,6.154317e-02,1.896247e-03
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-071448,qq-m,1,20000,7101.96,243,4.669e-03,4.665e-03,2.657e-07,3.471e-06,9.969292e-02,3.408031e-04
20260403-071448,qq-m,2,20000,3317.51,243,2.384e-03,2.378e-03,1.061e-07,6.062e-06,2.684299e-01,2.318923e-04
20260403-071448,qq-m,3,20000,3537.39,243,2.153e-03,2.085e-03,7.397e-07,6.751e-05,4.906402e-02,5.746296e-05
20260403-071448,qq-m,4,20000,3773.90,243,1.701e-03,1.629e-03,1.373e-06,7.146e-05,4.486852e-02,1.141575e-04
20260403-055759,cc,10-4,20000,58.92,845,1.933e-06,3.489e-07,6.781e-08,1.516e-06,3.934973e-02,5.138812e-05
20260403-055902,cc,10-7,20000,85.21,1505,6.137e-05,2.948e-05,1.023e-06,3.087e-05,2.342503e-02,1.007594e-04
20260403-060029,cc,20-4,20000,67.49,2845,4.176e-03,1.053e-04,5.142e-05,4.019e-03,6.154317e-02,1.896247e-03
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-071448,qq-m,1,20000,7101.96,243,4.669e-03,4.665e-03,2.657e-07,3.471e-06,9.969292e-02,3.408031e-04
20260403-071448,qq-m,2,20000,3317.51,243,2.384e-03,2.378e-03,1.061e-07,6.062e-06,2.684299e-01,2.318923e-04
20260403-071448,qq-m,3,20000,3537.39,243,2.153e-03,2.085e-03,7.397e-07,6.751e-05,4.906402e-02,5.746296e-05
20260403-071448,qq-m,4,20000,3773.90,243,1.701e-03,1.629e-03,1.373e-06,7.146e-05,4.486852e-02,1.141575e-04
20260403-055759,cc,10-4,20000,58.92,845,1.933e-06,3.489e-07,6.781e-08,1.516e-06,3.934973e-02,5.138812e-05
20260403-055902,cc,10-7,20000,85.21,1505,6.137e-05,2.948e-05,1.023e-06,3.087e-05,2.342503e-02,1.007594e-04
20260403-060029,cc,20-4,20000,67.49,2845,4.176e-03,1.053e-04,5.142e-05,4.019e-03,6.154317e-02,1.896247e-03
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-071448,qq-m,1,20000,7101.96,243,4.669e-03,4.665e-03,2.657e-07,3.471e-06,9.969292e-02,3.408031e-04
20260403-071448,qq-m,2,20000,3317.51,243,2.384e-03,2.378e-03,1.061e-07,6.062e-06,2.684299e-01,2.318923e-04
20260403-071448,qq-m,3,20000,3537.39,243,2.153e-03,2.085e-03,7.397e-07,6.751e-05,4.906402e-02,5.746296e-05
20260403-071448,qq-m,4,20000,3773.90,243,1.701e-03,1.629e-03,1.373e-06,7.146e-05,4.486852e-02,1.141575e-04
20260403-055759,cc,10-4,20000,58.92,845,1.933e-06,3.489e-07,6.781e-08,1.516e-06,3.934973e-02,5.138812e-05
20260403-055902,cc,10-7,20000,85.21,1505,6.137e-05,2.948e-05,1.023e-06,3.087e-05,2.342503e-02,1.007594e-04
20260403-060029,cc,20-4,20000,67.49,2845,4.176e-03,1.053e-04,5.142e-05,4.019e-03,6.154317e-02,1.896247e-03
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-060145,hy-m,10-4-1,20000,1471.06,544,2.714e-06,1.929e-06,8.815e-08,6.965e-07,3.446822e-02,2.026290e-04
20260403-060145,hy-m,10-7-1,20000,1446.84,874,5.067e-03,5.067e-03,9.197e-08,3.625e-07,5.535364e-02,7.178563e-05
20260403-060145,hy-m,20-4-1,20000,1441.41,1544,3.142e-03,3.131e-03,4.450e-07,1.046e-05,2.139636e-01,1.401516e-04
20260403-071448,qq-m,1,20000,7101.96,243,4.669e-03,4.665e-03,2.657e-07,3.471e-06,9.969292e-02,3.408031e-04
20260403-071448,qq-m,2,20000,3317.51,243,2.384e-03,2.378e-03,1.061e-07,6.062e-06,2.684299e-01,2.318923e-04
20260403-071448,qq-m,3,20000,3537.39,243,2.153e-03,2.085e-03,7.397e-07,6.751e-05,4.906402e-02,5.746296e-05
20260403-071448,qq-m,4,20000,3773.90,243,1.701e-03,1.629e-03,1.373e-06,7.146e-05,4.486852e-02,1.141575e-04
