n_photons,n_modes,seed,fold_index,train_acc,val_acc,test_acc,qorc_output_size,n_train_epochs,duration_qfeatures,duration_train,best_val_epoch
1,10,42,0,0.941708,0.931999,0.933499,10,100,1.1,69.94,53
1,10,47,0,0.943562,0.932916,0.933799,10,100,0.73,69.03,91
1,10,53,0,0.940625,0.931416,0.932999,10,100,0.72,68.94,63
1,10,59,0,0.940645,0.927999,0.928099,10,100,0.73,69.12,56
1,10,67,0,0.941229,0.932583,0.931999,10,100,0.75,69.29,45
1,20,42,0,0.946749,0.933833,0.935499,20,100,0.68,69.19,99
1,20,47,0,0.948062,0.936666,0.935099,20,100,0.65,69.19,100
1,20,53,0,0.945145,0.931583,0.9343,20,100,0.7,68.7,77
1,20,59,0,0.945145,0.930333,0.934099,20,100,0.68,68.88,80
1,20,67,0,0.944124,0.935,0.934199,20,100,0.67,69.19,52
1,30,42,0,0.947083,0.935333,0.934499,30,100,0.68,69.11,87
1,30,47,0,0.945312,0.933916,0.933299,30,100,0.66,69.43,99
1,30,53,0,0.947895,0.936333,0.937899,30,100,0.7000000000000001,69.79,89
1,30,59,0,0.948,0.934749,0.937399,30,100,0.7000000000000001,69.15,53
1,30,67,0,0.948208,0.935999,0.935799,30,100,0.7000000000000001,68.81,86
1,40,42,0,0.94802,0.935666,0.934599,40,100,0.73,69.21,98
1,40,47,0,0.947833,0.935666,0.936899,40,100,0.6900000000000001,69.28,99
1,40,53,0,0.947687,0.936166,0.938699,40,100,0.68,68.95,93
1,40,59,0,0.949458,0.936666,0.938899,40,100,0.72,69.11,65
1,40,67,0,0.94802,0.936916,0.935899,40,100,0.73,69.04,86
1,50,42,0,0.949833,0.936583,0.936999,50,100,0.7300000000000001,69.49,99
1,50,47,0,0.945812,0.934416,0.933499,50,100,0.7000000000000001,69.26,97
1,50,53,0,0.948208,0.935,0.936299,50,100,0.6900000000000001,69.58,93
1,50,59,0,0.947333,0.934416,0.934799,50,100,0.7000000000000001,69.3,56
1,50,67,0,0.951708,0.940333,0.941699,50,100,0.7100000000000001,69.51,86
1,60,42,0,0.950958,0.936916,0.938999,60,100,0.69,69.35,99
1,60,47,0,0.949999,0.937416,0.938399,60,100,0.69,69.48,97
1,60,53,0,0.952458,0.941083,0.9422,60,100,0.7,69.23,100
1,60,59,0,0.94725,0.932999,0.933699,60,100,0.7,69.41,65
1,60,67,0,0.949999,0.938916,0.938999,60,100,0.7,69.58,92
1,70,42,0,0.950583,0.937583,0.938499,70,100,0.78,69.66,99
1,70,47,0,0.95027,0.936749,0.938499,70,100,0.7999999999999999,69.5,100
1,70,53,0,0.951354,0.937666,0.937999,70,100,0.7899999999999999,69.6,92
1,70,59,0,0.951958,0.935,0.939399,70,100,0.7899999999999999,69.63,92
1,70,67,0,0.949,0.93825,0.9368,70,100,0.78,69.45,72
1,80,42,0,0.950562,0.936749,0.937899,80,100,0.77,69.17,98
1,80,47,0,0.951104,0.936083,0.9375,80,100,0.8099999999999999,69.4,97
1,80,53,0,0.953125,0.939249,0.942999,80,100,0.77,69.28,97
1,80,59,0,0.9545,0.937083,0.943499,80,100,0.7999999999999999,69.6,100
1,80,67,0,0.950666,0.938166,0.9375,80,100,0.77,69.45,96
1,90,42,0,0.951333,0.938833,0.939699,90,100,0.84,69.83,99
1,90,47,0,0.951812,0.937999,0.9386,90,100,0.81,69.68,99
1,90,53,0,0.951916,0.941249,0.939899,90,100,0.81,69.7,97
1,90,59,0,0.955541,0.939083,0.943199,90,100,0.81,69.6,80
1,90,67,0,0.950854,0.937916,0.939099,90,100,0.8,69.46,100
1,100,42,0,0.951375,0.938666,0.936899,100,100,0.8500000000000001,69.46,99
1,100,47,0,0.951145,0.939833,0.939499,100,100,0.8400000000000001,69.52,97
1,100,53,0,0.953958,0.940416,0.941799,100,100,0.87,69.84,97
1,100,59,0,0.954312,0.937833,0.939699,100,100,0.8400000000000001,69.53,94
1,100,67,0,0.953437,0.939833,0.9404,100,100,0.8300000000000001,69.58,96
1,130,42,0,0.952749,0.938833,0.941399,130,100,1.5899999999999999,70.1,99
1,130,47,0,0.953541,0.939499,0.941999,130,100,1.0499999999999998,69.88,99
1,130,53,0,0.954395,0.942166,0.940799,130,100,1.04,69.77,99
1,130,59,0,0.950708,0.935999,0.937999,130,100,1.12,69.81,92
1,130,67,0,0.952562,0.940583,0.940999,130,100,1.1099999999999999,69.79,100
1,160,42,0,0.953562,0.941083,0.940199,160,100,1.53,69.86,99
1,160,47,0,0.952666,0.939333,0.938899,160,100,1.26,69.86,97
1,160,53,0,0.955437,0.942666,0.943199,160,100,1.27,69.59,97
1,160,59,0,0.955291,0.940083,0.941399,160,100,1.26,69.71,98
1,160,67,0,0.952145,0.938499,0.940099,160,100,1.25,69.59,93
1,200,42,0,0.954562,0.939083,0.940899,200,100,2.25,70.14,98
1,200,47,0,0.957145,0.943666,0.944499,200,100,1.71,69.89,97
1,200,53,0,0.955312,0.941833,0.941799,200,100,1.7,69.73,93
1,200,59,0,0.95602,0.938166,0.942299,200,100,1.69,70.15,100
1,200,67,0,0.954354,0.940916,0.941199,200,100,1.6800000000000002,70.05,96
2,10,42,0,0.958499,0.946833,0.946699,55,100,3.61,70.33,98
2,10,47,0,0.958999,0.945666,0.944599,55,100,0.72,68.8,91
2,10,53,0,0.958333,0.948083,0.947599,55,100,0.73,69.0,92
2,10,59,0,0.954062,0.940249,0.944099,55,100,0.73,68.91,65
2,10,67,0,0.959708,0.945333,0.948899,55,100,0.73,68.96,74
2,20,42,0,0.97377,0.957333,0.961899,210,100,0.72,69.9,99
2,20,47,0,0.976187,0.959666,0.960599,210,100,0.7,69.91,99
2,20,53,0,0.97502,0.95875,0.961999,210,100,0.71,69.68,100
2,20,59,0,0.972854,0.9555,0.957499,210,100,0.71,69.41,100
2,20,67,0,0.975354,0.960416,0.961799,210,100,0.72,69.55,100
2,30,42,0,0.984062,0.96625,0.968699,465,100,0.73,70.63,100
2,30,47,0,0.985208,0.966666,0.9684,465,100,0.74,70.82,99
2,30,53,0,0.985812,0.966166,0.9684,465,100,0.75,70.63,100
2,30,59,0,0.983375,0.964083,0.9659,465,100,0.74,70.81,89
2,30,67,0,0.98452,0.966916,0.967299,465,100,0.74,70.89,100
2,40,42,0,0.991166,0.971,0.970299,820,100,0.78,72.0,89
2,40,47,0,0.988833,0.968166,0.968899,820,100,0.77,72.42,96
2,40,53,0,0.990145,0.970749,0.971299,820,100,0.78,72.33,92
2,40,59,0,0.988999,0.967583,0.9702,820,100,0.76,72.31,81
2,40,67,0,0.99052,0.970666,0.971399,820,100,0.77,72.21,100
2,50,42,0,0.994499,0.972166,0.971099,1275,100,0.79,73.59,89
2,50,47,0,0.994041,0.973416,0.973499,1275,100,0.79,73.88,95
2,50,53,0,0.992062,0.971249,0.973299,1275,100,0.79,73.63,91
2,50,59,0,0.993583,0.971166,0.972399,1275,100,0.8,73.48,80
2,50,67,0,0.994666,0.973833,0.973299,1275,100,0.79,73.69,82
2,60,42,0,0.996062,0.972833,0.9756,1830,100,0.7999999999999999,75.76,78
2,60,47,0,0.996312,0.972999,0.974299,1830,100,0.7999999999999999,76.3,93
2,60,53,0,0.996291,0.9735,0.975099,1830,100,0.7999999999999999,76.3,92
2,60,59,0,0.99402,0.971,0.970799,1830,100,0.8099999999999999,75.99,65
2,60,67,0,0.994645,0.97425,0.9738,1830,100,0.7899999999999999,76.05,75
2,70,42,0,0.997229,0.973333,0.973599,2485,100,0.87,77.56,89
2,70,47,0,0.997458,0.97275,0.972599,2485,100,0.91,79.13,95
2,70,53,0,0.996749,0.974166,0.9763,2485,100,0.9,77.84,75
2,70,59,0,0.997291,0.972583,0.975299,2485,100,0.87,77.57,81
2,70,67,0,0.99802,0.973999,0.9738,2485,100,0.89,77.79,100
2,80,42,0,0.998562,0.976,0.974199,3240,100,0.8799999999999999,79.38,82
2,80,47,0,0.998125,0.976416,0.975699,3240,100,1.06,79.19,95
2,80,53,0,0.998145,0.973833,0.976399,3240,100,0.9099999999999999,78.9,77
2,80,59,0,0.99677,0.971833,0.975099,3240,100,0.8899999999999999,79.56,72
2,80,67,0,0.997354,0.975083,0.974599,3240,100,0.9099999999999999,79.53,80
2,90,42,0,0.998979,0.974166,0.974799,4095,100,1.25,82.21,84
2,90,47,0,0.998604,0.973999,0.973399,4095,100,0.96,81.88,92
2,90,53,0,0.99852,0.973416,0.974899,4095,100,0.96,81.88,80
2,90,59,0,0.998958,0.971749,0.975899,4095,100,0.97,81.84,82
2,90,67,0,0.998333,0.974749,0.973999,4095,100,0.97,81.75,80
2,100,42,0,0.999041,0.97025,0.973599,5050,100,1.14,84.39,87
2,100,47,0,0.999583,0.97425,0.973899,5050,100,1.0,84.08,89
2,100,53,0,0.999395,0.97425,0.975199,5050,100,0.99,84.27,92
2,100,59,0,0.999374,0.974833,0.975099,5050,100,1.0,84.05,96
2,100,67,0,0.999479,0.974749,0.974599,5050,100,1.02,84.64,100
3,10,42,0,0.970166,0.955833,0.953999,220,100,1.1,70.72,96
3,10,47,0,0.969479,0.955166,0.956399,220,100,0.74,69.74,60
3,10,53,0,0.968645,0.955166,0.956599,220,100,0.73,70.18,51
3,10,59,0,0.967395,0.950833,0.953099,220,100,0.74,70.08,64
3,10,67,0,0.968625,0.955083,0.956599,220,100,0.73,69.94,46
3,12,42,0,0.976479,0.961666,0.959999,364,100,0.7,70.45,68
