date,log_return
1990-01-03,-0.0025888877
1990-01-04,-0.0086502961
1990-01-05,-0.0098041417
1990-01-08,0.0045043102
1990-01-09,-0.0118567045
1990-01-10,-0.0066290906
1990-01-11,0.0035065604
1990-01-12,-0.0249846137
1990-01-15,-0.0086567622
1990-01-16,0.0110661402
1990-01-17,-0.0098799186
1990-01-18,0.0023387229
1990-01-19,0.0028345945
1990-01-22,-0.0261989475
1990-01-23,0.0037160135
1990-01-24,-0.0040792828
1990-01-25,-0.0127375437
1990-01-26,-0.0008590502
1990-01-29,-0.0018432435
1990-01-30,-0.0068499794
1990-01-31,0.0187104057
1990-02-01,-0.0008815664
1990-02-02,0.0064574198
1990-02-05,0.0028063831
1990-02-06,-0.0066212466
1990-02-07,0.0123303783
1990-02-08,-0.0023698727
1990-02-09,0.0019802691
1990-02-12,-0.0106675974
1990-02-13,0.0028437547
1990-02-14,0.0029863550
1990-02-15,0.0086370451
1990-02-16,-0.0065008643
1990-02-20,-0.0143182088
1990-02-21,-0.0009760450
1990-02-22,-0.0060302956
1990-02-23,-0.0047703970
1990-02-26,0.0138478959
1990-02-27,0.0048260039
1990-02-28,0.0049233802
1990-03-01,0.0025577420
1990-03-02,0.0083798249
1990-03-05,-0.0053789824
1990-03-06,0.0124765343
1990-03-07,-0.0029041641
1990-03-08,0.0098048002
1990-03-09,-0.0069006361
1990-03-12,0.0021874698
1990-03-13,-0.0079150616
1990-03-14,0.0025859248
1990-03-15,0.0035559115
1990-03-16,0.0112945589
1990-03-19,0.0047268853
1990-03-20,-0.0057217831
1990-03-21,-0.0053720670
1990-03-22,-0.0119924681
1990-03-23,0.0045474177
1990-03-26,0.0012150958
1990-03-27,0.0113970432
1990-03-28,0.0014630581
1990-03-29,-0.0035442602
1990-03-30,-0.0024973382
1990-04-02,-0.0036543428
1990-04-03,0.0144798445
1990-04-04,-0.0074482791
1990-04-05,-0.0010559543
1990-04-06,-0.0019095625
1990-04-09,0.0037860742
1990-04-10,0.0020484972
1990-04-11,-0.0004385851
1990-04-12,0.0070526999
1990-04-16,0.0011609507
1990-04-17,-0.0001740523
1990-04-18,-0.0115553999
1990-04-19,-0.0077489078
1990-04-20,-0.0088234593
1990-04-23,-0.0122192776
1990-04-24,-0.0020864599
1990-04-25,0.0050423980
1990-04-26,0.0026769386
1990-04-27,-0.0115102643
1990-04-30,0.0051219294
1990-05-01,0.0043737713
1990-05-02,0.0066894223
1990-05-03,0.0032534804
1990-05-04,0.0083685195
1990-05-07,0.0063041041
1990-05-08,0.0043367811
1990-05-09,0.0024821529
1990-05-10,0.0027961281
1990-05-11,0.0235128897
1990-05-14,0.0077821404
1990-05-15,-0.0013257585
1990-05-16,-0.0007906444
1990-05-17,0.0013268065
1990-05-18,0.0004795121
1990-05-21,0.0094297547
1990-05-22,0.0012003761
1990-05-23,0.0023965231
1990-05-24,-0.0024522929
1990-05-25,-0.0107436401
1990-05-29,0.0169739894
1990-05-30,0.0005820889
1990-05-31,0.0010248741
1990-06-01,0.0053286136
1990-06-04,0.0116076376
1990-06-05,-0.0020706760
1990-06-06,-0.0045927450
1990-06-07,-0.0049717799
1990-06-08,-0.0123017165
1990-06-11,0.0081073644
1990-06-12,0.0126945572
1990-06-13,-0.0036928336
1990-06-14,-0.0054960293
1990-06-15,0.0000275823
1990-06-18,-0.0167552752
1990-06-19,0.0044453734
1990-06-20,0.0017559403
1990-06-21,0.0038078207
1990-06-22,-0.0140804354
1990-06-25,-0.0088168406
1990-06-26,-0.0007098542
1990-06-27,0.0087105105
1990-06-28,0.0069868269
1990-06-29,0.0010898740
1990-07-02,0.0042366403
1990-07-03,0.0017229269
1990-07-05,-0.0125169577
1990-07-06,0.0076740910
1990-07-09,0.0030642573
1990-07-10,-0.0084636163
1990-07-11,0.0132087434
1990-07-12,0.0115872087
1990-07-13,0.0051040578
1990-07-16,0.0044549951
1990-07-17,-0.0038834575
1990-07-18,-0.0090196250
1990-07-19,0.0030156179
1990-07-20,-0.0102074594
1990-07-23,-0.0175756015
1990-07-24,0.0013500522
1990-07-25,0.0036471474
1990-07-26,-0.0033099404
1990-07-27,-0.0069641536
1990-07-30,0.0059521054
1990-07-31,0.0016861213
1990-08-01,-0.0017704977
1990-08-02,-0.0114286337
1990-08-03,-0.0190143468
1990-08-06,-0.0307109269
1990-08-07,0.0011953320
1990-08-08,0.0104579805
1990-08-09,0.0046882579
1990-08-10,-0.0130876042
1990-08-13,0.0098464743
1990-08-14,0.0016219230
1990-08-15,0.0019721337
1990-08-16,-0.0228130431
1990-08-17,-0.0138138820
1990-08-20,0.0020721682
1990-08-21,-0.0204506857
1990-08-22,-0.0166354545
1990-08-23,-0.0304380081
1990-08-24,0.0143883115
1990-08-27,0.0313794369
1990-08-28,-0.0003111674
1990-08-29,0.0088300300
1990-08-30,-0.0170481996
1990-08-31,0.0120075863
1990-09-04,0.0016417530
1990-09-05,0.0040156299
1990-09-06,-0.0121891039
1990-09-07,0.0091324914
1990-09-10,-0.0054880966
1990-09-11,-0.0018360791
1990-09-12,0.0046614335
1990-09-13,-0.0121338834
1990-09-14,-0.0057279926
1990-09-17,0.0029625060
1990-09-18,0.0026086006
1990-09-19,-0.0062972499
1990-09-20,-0.0163040007
1990-09-21,-0.0005138204
1990-09-24,-0.0218547477
1990-09-25,0.0119770164
1990-09-26,-0.0104351438
1990-09-27,-0.0134978745
1990-09-28,0.0167378513
1990-10-01,0.0286337048
1990-10-02,0.0008569040
1990-10-03,-0.0121608165
1990-10-04,0.0041340524
1990-10-05,-0.0038129540
1990-10-08,0.0063362590
1990-10-09,-0.0270959855
1990-10-10,-0.0155579326
1990-10-11,-0.0165482442
1990-10-12,0.0153490306
1990-10-15,0.0106091641
1990-10-16,-0.0143156057
1990-10-17,-0.0005354158
1990-10-18,0.0230944275
1990-10-19,0.0218054667
1990-10-22,0.0072699724
1990-10-23,-0.0076541528
1990-10-24,0.0007681156
1990-10-25,-0.0078038600
1990-10-26,-0.0177601010
1990-10-29,-0.0093308730
1990-10-30,0.0071954387
1990-10-31,-0.0001973409
1990-11-01,0.0098851549
1990-11-02,0.0156094663
1990-11-05,0.0087478695
1990-11-06,-0.0094857110
1990-11-07,-0.0181666681
1990-11-08,0.0052148862
1990-11-09,0.0197318871
1990-11-12,0.0181301221
1990-11-13,-0.0056815581
1990-11-14,0.0085570458
1990-11-15,-0.0106053674
1990-11-16,0.0003154070
1990-11-19,0.0069761187
1990-11-20,-0.0127000803
1990-11-21,0.0022808678
1990-11-23,-0.0029470738
1990-11-26,0.0044647994
1990-11-27,0.0050109504
1990-11-28,-0.0004716418
1990-11-29,-0.0048236886
1990-11-30,0.0181640584
1990-12-03,0.0058175831
1990-12-04,0.0069183148
1990-12-05,0.0108797977
1990-12-06,-0.0025797252
1990-12-07,-0.0040193937
1990-12-10,0.0034722702
1990-12-11,-0.0074772208
1990-12-12,0.0114220817
1990-12-13,-0.0025776131
1990-12-14,-0.0076810576
1990-12-17,-0.0024508876
1990-12-18,0.0122854257
1990-12-19,0.0004544473
1990-12-20,-0.0002423585
1990-12-21,0.0049254633
1990-12-24,-0.0055921135
1990-12-26,0.0028755592
1990-12-27,-0.0077677288
1990-12-28,0.0013089382
1990-12-31,0.0045527744
1991-01-02,-0.0114822677
1991-01-03,-0.0140048203
1991-01-04,-0.0028308916
1991-01-07,-0.0174726258
1991-01-08,-0.0017133886
1991-01-09,-0.0108879051
1991-01-10,0.0097122536
1991-01-11,0.0022231088
1991-01-14,-0.0087301286
1991-01-15,0.0039603410
1991-01-16,0.0077473077
1991-01-17,0.0366420584
1991-01-18,0.0129053887
1991-01-21,-0.0035279128
1991-01-22,-0.0083413439
1991-01-23,0.0057705133
1991-01-24,0.0137448062
1991-01-25,0.0038458974
1991-01-28,-0.0001190553
1991-01-29,-0.0005655929
1991-01-30,0.0149836784
1991-01-31,0.0088196034
1991-02-01,-0.0025619534
1991-02-04,0.0153028302
1991-02-05,0.0083477140
1991-02-06,0.0192018007
1991-02-07,-0.0043382100
1991-02-08,0.0079065525
1991-02-11,0.0253608871
1991-02-12,-0.0083914688
1991-02-13,0.0095845342
1991-02-14,-0.0130927293
1991-02-15,0.0132011418
1991-02-19,0.0008938103
1991-02-20,-0.0115721543
1991-02-21,-0.0004657200
1991-02-22,0.0018614133
1991-02-25,0.0043934957
1991-02-26,-0.0121907962
1991-02-27,0.0134968656
1991-02-28,-0.0018235547
1991-03-01,0.0092198876
1991-03-04,-0.0030819561
1991-03-05,0.0198116922
1991-03-06,-0.0014610046
1991-03-07,-0.0006914418
1991-03-08,-0.0025570465
1991-03-11,-0.0053215639
1991-03-12,-0.0078870722
1991-03-13,0.0121946408
1991-03-14,-0.0028607164
1991-03-15,0.0002409250
1991-03-18,-0.0039694595
1991-03-19,-0.0149454228
1991-03-20,0.0036215124
1991-03-21,-0.0036488178
1991-03-22,0.0024521834
1991-03-25,0.0063744790
1991-03-26,0.0173432609
1991-03-27,-0.0025277249
1991-03-28,-0.0003464164
1991-04-01,-0.0105021956
1991-04-02,0.0218442685
1991-04-03,-0.0014767092
1991-04-04,0.0021878897
1991-04-05,-0.0116802509
1991-04-08,0.0087531881
1991-04-09,-0.0135600868
1991-04-10,-0.0010981605
1991-04-11,0.0119344260
1991-04-12,0.0073084214
1991-04-15,0.0020746303
1991-04-16,0.0167275208
1991-04-17,0.0072744857
1991-04-18,-0.0051097690
1991-04-19,-0.0110269003
1991-04-22,-0.0084951171
1991-04-23,0.0021239995
1991-04-24,0.0026160219
1991-04-25,-0.0092125682
1991-04-26,-0.0006066731
1991-04-29,-0.0142426423
1991-04-30,0.0044859693
1991-05-01,0.0131018699
1991-05-02,0.0006045674
1991-05-03,0.0007355614
1991-05-06,-0.0018925493
1991-05-07,-0.0072880684
1991-05-08,0.0031488652
1991-05-09,0.0124449993
1991-05-10,-0.0197901289
1991-05-13,0.0027110170
1991-05-14,-0.0137365922
1991-05-15,-0.0082411409
1991-05-16,0.0097738104
1991-05-17,0.0005372484
1991-05-20,-0.0002954755
1991-05-21,0.0082126842
1991-05-22,0.0022354011
1991-05-23,-0.0032750106
1991-05-24,0.0067247216
1991-05-28,0.0117194822
1991-05-29,0.0022230237
1991-05-30,0.0108347482
1991-05-31,0.0073894058
1991-06-03,-0.0045507517
1991-06-04,-0.0008249738
1991-06-05,-0.0068579230
1991-06-06,-0.0037985045
1991-06-07,-0.0110084519
1991-06-10,-0.0022690916
1991-06-11,0.0065295524
1991-06-12,-0.0116142100
1991-06-13,0.0025985351
1991-06-14,0.0122646120
1991-06-17,-0.0056661929
1991-06-18,-0.0040594967
1991-06-19,-0.0092878282
1991-06-20,0.0008794476
1991-06-21,0.0061871661
1991-06-24,-0.0181922701
1991-06-25,-0.0007821264
1991-06-26,0.0025328814
1991-06-27,0.0075336422
1991-06-28,-0.0086914819
1991-07-01,0.0180493222
1991-07-02,-0.0011914700
1991-07-03,-0.0110283875
1991-07-05,0.0020069313
1991-07-08,0.0102658169
1991-07-09,-0.0048538445
1991-07-10,-0.0009842260
1991-07-11,0.0032682231
1991-07-12,0.0086633192
1991-07-15,0.0056121374
1991-07-16,-0.0022253516
1991-07-17,-0.0009440316
1991-07-18,0.0109322138
1991-07-19,-0.0029885907
1991-07-22,-0.0034936715
1991-07-23,-0.0090778306
1991-07-24,-0.0020578820
1991-07-25,0.0061084360
1991-07-26,-0.0000787483
1991-07-29,0.0058109295
1991-07-30,0.0091968033
1991-07-31,0.0028921779
1991-08-01,-0.0017808128
1991-08-02,0.0001549724
1991-08-05,-0.0054905223
1991-08-06,0.0143360479
1991-08-07,-0.0001536075
1991-08-08,-0.0031799540
1991-08-09,-0.0056669365
1991-08-12,0.0023221465
1991-08-13,0.0041150362
1991-08-14,0.0007183877
1991-08-15,-0.0014630018
1991-08-16,-0.0096786192
1991-08-19,-0.0239102933
1991-08-20,0.0078317413
1991-08-21,0.0289882998
1991-08-22,0.0018927524
1991-08-23,0.0072311629
1991-08-26,-0.0008121807
1991-08-27,-0.0020078759
1991-08-28,0.0090668395
1991-08-29,-0.0004287260
1991-08-30,-0.0026266174
1991-09-03,-0.0083293578
1991-09-04,-0.0055745879
1991-09-05,-0.0021306025
1991-09-06,-0.0001028180
1991-09-09,-0.0013630431
1991-09-10,-0.0103735354
1991-09-11,0.0013772465
1991-09-12,0.0058257872
1991-09-13,-0.0097285865
1991-09-16,0.0056929913
1991-09-17,-0.0007260626
1991-09-18,0.0037284556
1991-09-19,0.0016010207
1991-09-20,0.0009284982
1991-09-23,-0.0051690385
1991-09-24,0.0046274866
1991-09-25,-0.0021430354
1991-09-26,-0.0010086108
1991-09-27,-0.0015277165
1991-09-30,0.0050661593
1991-10-01,0.0034489697
1991-10-02,-0.0024181382
