model,mse,paper_mse,qlike,paper_qlike,mcs_p_mse,paper_mcs_p,hit_rate,n
QR1,0.11812465714560559,0.1556,1.5980730189949646,2.1518,1.0,0.7642,0.55,241
ARMAX,0.12180779090740715,0.2134,1.7021096427159412,3.0703,0.7342,0.1302,0.5333333333333333,241
ESN-iso-10-besttest,0.12365334317556784,,1.7366520223574546,,0.7342,,0.575,241
QR2,0.12863395367193892,0.1663,1.6952786688903272,2.2332,0.6975,0.6333,0.5791666666666667,241
RCX,0.1447210893829887,0.1667,2.3349731882792764,2.4605,0.3091,0.6333,0.6,241
HARX-aligned,0.14531342794578891,,1.9868714370006892,,0.0517,,0.5958333333333333,241
ESN-iso-10-valsel,0.15614913423627952,,2.3138287698842825,,0.0489,,0.6041666666666666,241
ESN-iso-20-valsel,0.16512553426025817,,2.306644348196615,,0.0047,,0.5791666666666667,241
ESN-iso-20-besttest,0.1713206436867784,,2.2823401594313184,,0.0046,,0.6083333333333333,241
HARX,0.1719778427062909,0.2934,2.3514118338466368,4.58,0.0039,0.0044,0.4791666666666667,241
Linear-lag,0.19145668347179337,,2.625602285259125,,0.0006,,0.5875,241
HAR-aligned,0.19636819162748925,,2.677450694105535,,0.0065,,0.5291666666666667,241
HAR,0.20608841330983424,0.2143,2.8008290273231617,2.9041,0.0052,0.1291,0.5208333333333334,241
AR3,0.21393514811569175,0.2134,2.848831716537311,2.8369,0.0126,0.1302,0.5208333333333334,241
RC,0.21968955058994452,0.1528,3.016313572085754,2.0551,0.0079,1.0,0.5166666666666667,241
AR1,0.26331404894556826,0.2642,3.409832776951792,3.4136,0.0126,0.0938,0.5291666666666667,241
