model,dataset,seed,test_acc,test_auc,best_val_auc,best_epoch,attn_params,total_params,time_s
A,retinamnist,123,0.5425,0.7417,0.833,61,960,8213,2097.1
A,retinamnist,42,0.5425,0.7475,0.834,28,960,8213,2126.6
A,retinamnist,7,0.55,0.7413,0.8479,39,960,8213,2140.7
B,retinamnist,123,0.5375,0.7503,0.8275,24,1920,9205,4428.9
B,retinamnist,42,0.5175,0.7396,0.8394,49,1920,9205,4422.1
B,retinamnist,7,0.5425,0.7376,0.8343,47,1920,9205,4404.0
C,retinamnist,123,0.515,0.7497,0.8442,47,1920,9205,4433.9
C,retinamnist,42,0.5375,0.7514,0.8512,48,1920,9205,4461.6
C,retinamnist,7,0.5375,0.7456,0.8416,51,1920,9205,4415.1
D,retinamnist,42,0.5325,0.7566,0.8321,41,4224,11509,12566.9
