model,variant_label,base_model,family,profile,data_regime,dataset,seed,test_acc,test_auc,best_val_auc,best_epoch,attn_params,total_params,time_s
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,bloodmnist,123,0.7968,0.9656,0.9676,86,24,1720,642.2
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,bloodmnist,42,0.7869,0.9636,0.9697,73,24,1720,629.8
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,bloodmnist,7,0.786,0.9648,0.9665,69,24,1720,637.9
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,bloodmnist,123,0.7916,0.9674,0.9719,80,48,1760,949.6
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,bloodmnist,42,0.8059,0.9693,0.9724,98,48,1760,947.1
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,bloodmnist,7,0.798,0.9677,0.9727,79,48,1760,949.7
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,bloodmnist,123,0.8384,0.9758,0.9788,99,160,4056,2891.8
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,bloodmnist,42,0.8243,0.9735,0.9765,73,160,4056,2855.0
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,bloodmnist,7,0.8427,0.977,0.9785,97,160,4056,2849.5
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,bloodmnist,123,0.8264,0.9759,0.9767,99,416,4312,50712.9
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,bloodmnist,42,0.8278,0.9745,0.9777,99,416,4312,3202.6
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,bloodmnist,7,0.8188,0.9716,0.9746,97,416,4312,3150.3
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,breastmnist,123,0.7692,0.7794,0.8195,42,24,882,78.4
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,breastmnist,42,0.7372,0.7713,0.802,52,24,882,80.7
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,breastmnist,7,0.8205,0.8118,0.8413,91,24,882,81.9
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,breastmnist,123,0.7949,0.8444,0.8997,36,48,922,116.2
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,breastmnist,42,0.7244,0.7863,0.817,24,48,922,116.5
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,breastmnist,7,0.8269,0.8716,0.878,49,48,922,116.9
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,breastmnist,123,0.7885,0.8141,0.8371,100,160,2386,309.4
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,breastmnist,42,0.8077,0.7955,0.802,46,160,2386,308.1
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,breastmnist,7,0.8077,0.8187,0.8622,74,160,2386,312.5
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,breastmnist,123,0.7756,0.7995,0.8647,19,416,2642,344.1
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,breastmnist,42,0.7756,0.8315,0.8254,47,416,2642,339.6
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,breastmnist,7,0.7628,0.7868,0.8012,28,416,2642,346.3
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,dermamnist,123,0.7122,0.8762,0.8844,74,24,1711,454.5
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,dermamnist,42,0.7212,0.8792,0.883,92,24,1711,457.2
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,dermamnist,7,0.6963,0.8681,0.889,99,24,1711,458.1
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,dermamnist,123,0.7097,0.8781,0.8893,94,48,1751,659.5
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,dermamnist,42,0.6883,0.8498,0.857,94,48,1751,664.2
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,dermamnist,7,0.7067,0.8664,0.8746,71,48,1751,666.6
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,dermamnist,123,0.7212,0.8883,0.9024,74,160,4039,2098.3
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,dermamnist,42,0.7367,0.8948,0.9098,94,160,4039,2036.4
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,dermamnist,7,0.7237,0.8952,0.9016,75,160,4039,2153.2
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,dermamnist,123,0.7097,0.8845,0.9026,74,416,4295,2645.0
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,dermamnist,42,0.7197,0.889,0.9009,75,416,4295,40605.1
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,dermamnist,7,0.7237,0.8918,0.9048,98,416,4295,2707.5
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,octmnist,123,0.454,0.7787,0.803,97,24,900,826.6
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,octmnist,42,0.459,0.7619,0.803,74,24,900,936.4
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,octmnist,7,0.462,0.7692,0.8212,75,24,900,850.7
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,octmnist,123,0.451,0.7707,0.8135,70,48,940,1213.3
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,octmnist,42,0.469,0.7679,0.8233,80,48,940,1194.7
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,octmnist,7,0.465,0.769,0.8283,92,48,940,1200.7
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,octmnist,123,0.499,0.8055,0.8396,96,160,2420,4275.8
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,octmnist,42,0.511,0.83,0.8664,97,160,2420,4224.8
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,octmnist,123,0.496,0.8019,0.8565,72,416,2676,5649.3
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,octmnist,42,0.52,0.843,0.8567,100,416,2676,14353.5
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,octmnist,7,0.505,0.807,0.8733,100,416,2676,5666.8
