model,variant_label,base_model,family,profile,data_regime,dataset,seed,test_acc,test_auc,best_val_auc,best_epoch,attn_params,total_params,time_s
OrthoFNN|baseline|full|standard,"OrthoFNN [baseline, full]",OrthoFNN,baseline,full,standard,pathmnist,42,0.6457,0.9316,0.9519,99,256,42601,69512.6
VisionTransformer|baseline|full|standard,"VisionTransformer [baseline, full]",VisionTransformer,baseline,full,standard,pathmnist,123,0.7352,0.9543,0.9954,80,2048,9401,12427.3
VisionTransformer|baseline|full|standard,"VisionTransformer [baseline, full]",VisionTransformer,baseline,full,standard,pathmnist,7,0.735,0.95,0.9955,94,2048,9401,5865.9
OrthoFNN|baseline|full|standard,"OrthoFNN [baseline, full]",OrthoFNN,baseline,full,standard,retinamnist,123,0.495,0.6776,0.7659,96,256,12901,253.7
OrthoFNN|baseline|full|standard,"OrthoFNN [baseline, full]",OrthoFNN,baseline,full,standard,retinamnist,42,0.4825,0.6759,0.7593,91,256,12901,288.5
OrthoFNN|baseline|full|standard,"OrthoFNN [baseline, full]",OrthoFNN,baseline,full,standard,retinamnist,7,0.495,0.6625,0.7729,50,256,12901,245.4
VisionTransformer|baseline|full|standard,"VisionTransformer [baseline, full]",VisionTransformer,baseline,full,standard,retinamnist,123,0.5225,0.7444,0.8425,26,2048,9333,83.6
VisionTransformer|baseline|full|standard,"VisionTransformer [baseline, full]",VisionTransformer,baseline,full,standard,retinamnist,42,0.5475,0.7375,0.8187,15,2048,9333,77.7
VisionTransformer|baseline|full|standard,"VisionTransformer [baseline, full]",VisionTransformer,baseline,full,standard,retinamnist,7,0.565,0.7433,0.8431,50,2048,9333,79.8
A|butterfly|full|standard,"A: OrthoPatch [butterfly, full]",A,butterfly,full,standard,retinamnist,123,0.5325,0.7443,0.8272,42,256,7509,17302.8
A|butterfly|full|standard,"A: OrthoPatch [butterfly, full]",A,butterfly,full,standard,retinamnist,42,0.5175,0.7416,0.8514,40,256,7509,223.2
A|butterfly|full|standard,"A: OrthoPatch [butterfly, full]",A,butterfly,full,standard,retinamnist,7,0.5475,0.7578,0.8395,29,256,7509,276.3
B|butterfly|full|standard,"B: OrthoTransformer [butterfly, full]",B,butterfly,full,standard,retinamnist,123,0.505,0.7382,0.8163,27,512,7797,536.6
B|butterfly|full|standard,"B: OrthoTransformer [butterfly, full]",B,butterfly,full,standard,retinamnist,42,0.5075,0.7299,0.8249,26,512,7797,417.6
B|butterfly|full|standard,"B: OrthoTransformer [butterfly, full]",B,butterfly,full,standard,retinamnist,7,0.52,0.7426,0.8351,23,512,7797,523.6
D|butterfly|full|standard,"D: Compound [butterfly, full]",D,butterfly,full,standard,retinamnist,123,0.5175,0.7404,0.8357,39,640,7893,739.1
D|butterfly|full|standard,"D: Compound [butterfly, full]",D,butterfly,full,standard,retinamnist,42,0.5325,0.7305,0.8412,47,640,7893,664.8
D|butterfly|full|standard,"D: Compound [butterfly, full]",D,butterfly,full,standard,retinamnist,7,0.535,0.7517,0.8405,45,640,7893,719.3
D_full|butterfly|full|standard,"D: Compound (full sector) [butterfly, full]",D_full,butterfly,full,standard,retinamnist,42,0.5225,0.7313,0.8324,31,1664,8917,765.2
