variant,variant_label,base_model,family,profile,n_runs,mean_test_auc,std_test_auc,mean_test_acc,std_test_acc,mean_best_val_auc,mean_time_s,total_params,attn_params,auc_per_1k_params,auc_per_hour
A|butterfly|full|standard,"A: OrthoPatch [butterfly, full]",A,butterfly,full,3,0.747881784082348,0.007080798586133401,0.5324999999999999,0.012247448713915901,0.8393854339283529,5934.099999999999,7509,256,0.09959805354672366,0.45371234436501795
A|butterfly|lite|standard,"A: OrthoPatch [butterfly, lite]",A,butterfly,lite,3,0.7386444332249559,0.0054540263973952875,0.5341666666666667,0.008249579113843065,0.8299535592384563,115.03333333333335,1693,24,0.4362932269491765,23.116081943869958
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,3,0.7386527490550794,0.005459524291403355,0.5341666666666667,0.008249579113843065,0.8299021189092382,132.29999999999998,1693,24,0.43629813883938534,20.099394532111006
A|generic|full|standard,"A: OrthoPatch [generic, full]",A,generic,full,3,0.7435069280312732,0.002810009710603553,0.545,0.0035355339059327667,0.8382923629280099,2121.4666666666667,8213,960,0.09052805649960712,1.2616860698161256
A|generic|lite|standard,"A: OrthoPatch [generic, lite]",A,generic,lite,1,0.7363960327400829,0.0,0.51,0.0,0.8310822488441862,159.7,1725,56,0.42689625086381616,16.60003580378396
B|butterfly|full|standard,"B: OrthoTransformer [butterfly, full]",B,butterfly,full,3,0.736870480428332,0.0052607123912318966,0.5108333333333334,0.006561673228343191,0.8254334943027798,492.6000000000001,7797,512,0.09450692323051585,5.385167944665032
B|butterfly|lite|standard,"B: OrthoTransformer [butterfly, lite]",B,butterfly,lite,3,0.7392146379615504,0.005108404756802237,0.525,0.018708286933869726,0.8335286551664379,224.1,1733,48,0.42655201267256226,11.874933943157437
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,3,0.7390073639374953,0.004857028111515682,0.5299999999999999,0.025495097567963896,0.8335414239864533,193.43333333333337,1733,48,0.4264324085040365,13.753712787394361
B|generic|full|standard,"B: OrthoTransformer [generic, full]",B,generic,full,3,0.7425118095175965,0.0056055644490382904,0.5325,0.010801234497346443,0.8337362733677506,4418.333333333333,9205,1920,0.08066396627024405,0.6049888753519459
B|generic|lite|standard,"B: OrthoTransformer [generic, lite]",B,generic,lite,1,0.7338036656220223,0.0,0.5275,0.0,0.8371286918071054,255.7,1797,112,0.40834928526545483,10.331220947357373
C|generic|full|standard,"C: DirectAttn [generic, full]",C,generic,full,3,0.748926240866795,0.0024260477768686547,0.5299999999999999,0.010606601717798196,0.8457012667568985,4436.866666666667,9205,1920,0.08136080835054807,0.6076663261882549
C|generic|lite|standard,"C: DirectAttn [generic, lite]",C,generic,lite,1,0.7433189812247493,0.0,0.525,0.0,0.830832265629672,280.4,1797,112,0.4136443968974676,9.543325008591646
D_full|butterfly|full|standard,"D: Compound (full sector) [butterfly, full]",D_full,butterfly,full,1,0.7313390334986076,0.0,0.5225,0.0,0.8323883570366408,765.2,8917,1664,0.08201626483106511,3.440695923412163
D_full|butterfly|lite|standard,"D: Compound (full sector) [butterfly, lite]",D_full,butterfly,lite,3,0.7408481149974474,0.0031560814534172615,0.5391666666666667,0.008249579113843088,0.8253898132585649,2488.0,4261,416,0.17386719431998296,1.071966725880551
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,3,0.7408481149974474,0.0031560814534172615,0.5391666666666667,0.008249579113843088,0.8253898132585649,638.8000000000001,4261,416,0.17386719431998296,4.175098957405777
D_full|generic|full|standard,"D: Compound (full sector) [generic, full]",D_full,generic,full,1,0.6505838450246703,0.0,0.435,0.0,0.7105336010572472,45.1,12533,5248,0.05190966608351315,51.93130470263443
D_full|generic|lite|standard,"D: Compound (full sector) [generic, lite]",D_full,generic,lite,1,0.7418692167932165,0.0,0.535,0.0,0.8303817079662998,978.4,2285,616,0.32466924148499626,2.7296904951508374
D|butterfly|full|standard,"D: Compound [butterfly, full]",D,butterfly,full,3,0.7408796828457591,0.008660502877011653,0.5283333333333333,0.0077280154129131095,0.8391297383408748,707.7333333333332,7893,640,0.09386541021737731,3.768604264663809
D|butterfly|lite|standard,"D: Compound [butterfly, lite]",D,butterfly,lite,3,0.7381061971957114,0.006119879955623875,0.525,0.012416387021459446,0.8315620158335134,601.2666666666668,4005,160,0.184296179075084,4.419307533935958
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,3,0.7381061971957114,0.006119879955623875,0.525,0.012416387021459446,0.8315620158335134,564.1999999999999,4005,160,0.184296179075084,4.7096460650559395
D|generic|full|standard,"D: Compound [generic, full]",D,generic,full,1,0.7565757610605155,0.0,0.5325,0.0,0.832149198827841,12566.9,11509,4224,0.06573774967942614,0.2167338595690151
