variant,variant_label,base_model,family,profile,n_runs,mean_test_auc,std_test_auc,mean_test_acc,std_test_acc,mean_best_val_auc,mean_time_s,total_params,attn_params,auc_per_1k_params,auc_per_hour
A|butterfly|full|standard,"A: OrthoPatch [butterfly, full]",A,butterfly,full,3,0.747881784082348,0.007080798586133401,0.5324999999999999,0.012247448713915901,0.8393854339283529,5934.099999999999,7509,256,0.09959805354672366,0.45371234436501795
A|butterfly|lite|standard,"A: OrthoPatch [butterfly, lite]",A,butterfly,lite,3,0.7386444332249559,0.0054540263973952875,0.5341666666666667,0.008249579113843065,0.8299535592384563,115.03333333333335,1693,24,0.4362932269491765,23.116081943869958
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,3,0.7386527490550794,0.005459524291403355,0.5341666666666667,0.008249579113843065,0.8299021189092382,132.29999999999998,1693,24,0.43629813883938534,20.099394532111006
B|butterfly|full|standard,"B: OrthoTransformer [butterfly, full]",B,butterfly,full,3,0.736870480428332,0.0052607123912318966,0.5108333333333334,0.006561673228343191,0.8254334943027798,492.6000000000001,7797,512,0.09450692323051585,5.385167944665032
B|butterfly|lite|standard,"B: OrthoTransformer [butterfly, lite]",B,butterfly,lite,3,0.7392146379615504,0.005108404756802237,0.525,0.018708286933869726,0.8335286551664379,224.1,1733,48,0.42655201267256226,11.874933943157437
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,3,0.7390073639374953,0.004857028111515682,0.5299999999999999,0.025495097567963896,0.8335414239864533,193.43333333333337,1733,48,0.4264324085040365,13.753712787394361
D_full|butterfly|full|standard,"D: Compound (full sector) [butterfly, full]",D_full,butterfly,full,1,0.7313390334986076,0.0,0.5225,0.0,0.8323883570366408,765.2,8917,1664,0.08201626483106511,3.440695923412163
D_full|butterfly|lite|standard,"D: Compound (full sector) [butterfly, lite]",D_full,butterfly,lite,3,0.7408481149974474,0.0031560814534172615,0.5391666666666667,0.008249579113843088,0.8253898132585649,2488.0,4261,416,0.17386719431998296,1.071966725880551
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,3,0.7408481149974474,0.0031560814534172615,0.5391666666666667,0.008249579113843088,0.8253898132585649,638.8000000000001,4261,416,0.17386719431998296,4.175098957405777
D|butterfly|full|standard,"D: Compound [butterfly, full]",D,butterfly,full,3,0.7408796828457591,0.008660502877011653,0.5283333333333333,0.0077280154129131095,0.8391297383408748,707.7333333333332,7893,640,0.09386541021737731,3.768604264663809
D|butterfly|lite|standard,"D: Compound [butterfly, lite]",D,butterfly,lite,3,0.7381061971957114,0.006119879955623875,0.525,0.012416387021459446,0.8315620158335134,601.2666666666668,4005,160,0.184296179075084,4.419307533935958
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,3,0.7381061971957114,0.006119879955623875,0.525,0.012416387021459446,0.8315620158335134,564.1999999999999,4005,160,0.184296179075084,4.7096460650559395
OrthoFNN|baseline|full|standard,"OrthoFNN [baseline, full]",OrthoFNN,butterfly,full,3,0.6719919399454385,0.006762184460520142,0.4908333333333334,0.005892556509887901,0.7660191107373665,262.53333333333336,12901,256,0.05208836058797291,9.2147193390182
