variant,variant_label,base_model,family,profile,n_runs,mean_test_auc,std_test_auc,mean_test_acc,std_test_acc,mean_best_val_auc,mean_time_s,total_params,attn_params,auc_per_1k_params,auc_per_hour
A|butterfly|lite|standard,"A: OrthoPatch [butterfly, lite]",A,butterfly,lite,3,0.7386444332249559,0.0054540263973952875,0.5341666666666667,0.008249579113843065,0.8299535592384563,115.03333333333335,1693,24,0.4362932269491765,23.116081943869958
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,3,0.7386527490550794,0.005459524291403355,0.5341666666666667,0.008249579113843065,0.8299021189092382,132.29999999999998,1693,24,0.43629813883938534,20.099394532111006
A|generic|lite|standard,"A: OrthoPatch [generic, lite]",A,generic,lite,1,0.7363960327400829,0.0,0.51,0.0,0.8310822488441862,159.7,1725,56,0.42689625086381616,16.60003580378396
B|butterfly|lite|standard,"B: OrthoTransformer [butterfly, lite]",B,butterfly,lite,3,0.7392146379615504,0.005108404756802237,0.525,0.018708286933869726,0.8335286551664379,224.1,1733,48,0.42655201267256226,11.874933943157437
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,3,0.7390073639374953,0.004857028111515682,0.5299999999999999,0.025495097567963896,0.8335414239864533,193.43333333333337,1733,48,0.4264324085040365,13.753712787394361
B|generic|lite|standard,"B: OrthoTransformer [generic, lite]",B,generic,lite,1,0.7338036656220223,0.0,0.5275,0.0,0.8371286918071054,255.7,1797,112,0.40834928526545483,10.331220947357373
C|generic|lite|standard,"C: DirectAttn [generic, lite]",C,generic,lite,1,0.7433189812247493,0.0,0.525,0.0,0.830832265629672,280.4,1797,112,0.4136443968974676,9.543325008591646
D_full|butterfly|lite|standard,"D: Compound (full sector) [butterfly, lite]",D_full,butterfly,lite,3,0.7408481149974474,0.0031560814534172615,0.5391666666666667,0.008249579113843088,0.8253898132585649,2488.0,4261,416,0.17386719431998296,1.071966725880551
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,3,0.7408481149974474,0.0031560814534172615,0.5391666666666667,0.008249579113843088,0.8253898132585649,638.8000000000001,4261,416,0.17386719431998296,4.175098957405777
D_full|generic|lite|standard,"D: Compound (full sector) [generic, lite]",D_full,generic,lite,1,0.7418692167932165,0.0,0.535,0.0,0.8303817079662998,978.4,2285,616,0.32466924148499626,2.7296904951508374
D|butterfly|lite|standard,"D: Compound [butterfly, lite]",D,butterfly,lite,3,0.7381061971957114,0.006119879955623875,0.525,0.012416387021459446,0.8315620158335134,601.2666666666668,4005,160,0.184296179075084,4.419307533935958
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,3,0.7381061971957114,0.006119879955623875,0.525,0.012416387021459446,0.8315620158335134,564.1999999999999,4005,160,0.184296179075084,4.7096460650559395
D|generic|lite|standard,"D: Compound [generic, lite]",D,generic,lite,1,0.7410524041223596,0.0,0.545,0.0,0.8198782025331225,11627.3,2221,552,0.3336570932563528,0.22944180117830407
E|generic|lite|standard,"E: Multi-sector [generic, lite]",E,generic,lite,1,0.7329187877170972,0.0,0.51,0.0,0.8324651397194494,1934.6,2221,552,0.3299949516961266,1.3638517707957973
F|generic|lite|standard,"F: Hierarchical (3ph) [generic, lite]",F,generic,lite,1,0.7442345449845512,0.0,0.5325,0.0,0.8295691813342462,480.4,1909,240,0.3898557071684396,5.577111494472073
